"region","stockid","name","area","prey1","prey_stocks_primary","prey1_prop","prey_impt","prey_stocks_add","prey_impt_prop","reference","n_units","dietid","nrefs","refs","metrics"
"US/Canada East Coast","GSEALSABLEISL","Grey seal (Halichoerus grypus)","NW Atlantic","Atlantic mackerel","MACKNWATLSA3-4",0.162666666666667,"Atlantic mackerel",NA,0.162666666666667,"Bowen et al. 2003","pup production","Grey seal NW Atlantic",7,"Ampela 2009, Becket et al. 2007, Bowen et al. 1993 , Ampela 2009, Bowen et al. 1993 , Ampela 2009, Staudinger and Juanes 2010a","weight"
"US/Canada West Coast","BRACORFIF","Brandt cormorant (Phalacrocorax penicillatus)","California","Northern anchovy","NANCHSCAL",0.199925925925926,"Northern anchovy",NA,0.199925925925926,"Capitolo et al. 2014","nests (total)","Brandt cormorant NE Pacific",9,"Baltz and Morejohn 1977, Morejohn et al. 1978, Webb 2013, Baltz and Morejohn 1977, Elliot et al. 2015, Webb 2013, Webb 2013, Webb 2013, Webb 2013","count"
"US/Canada West Coast","BRACORFIS","Brandt cormorant (Phalacrocorax penicillatus)","California","Northern anchovy","NANCHSCAL",0.199925925925926,"Northern anchovy",NA,0.199925925925926,"Elliot et al. 2015","breeding adults","Brandt cormorant NE Pacific",9,"Baltz and Morejohn 1977, Morejohn et al. 1978, Webb 2013, Baltz and Morejohn 1977, Elliot et al. 2015, Webb 2013, Webb 2013, Webb 2013, Webb 2013","count"
"US/Canada West Coast","SEALIONSCBpup","California sea lion (Zalophus californianus)","California","Northern anchovy","NANCHSCAL",0.107333333333333,"Northern anchovy",NA,0.107333333333333,"NOAA 2011","pups","California sea lion NE Pacific",15,"Lowry and Carreta 1999, Morejohn et al. 1978, Orr et al. 2011, Garcia-Rodriguez and Aurioles-Gamboa 2004, Lowry and Carreta 1999, Mellinkelal 2005, Orr et al. 2011, Lowry and Carreta 1999, Orr et al. 2011, Garcia-Rodriguez and Aurioles-Gamboa 2004, Lowry and Carreta 1999, Orr et al. 2011, Garcia-Rodriguez and Aurioles-Gamboa 2004, Lowry and Carreta 1999, Orr et al. 2011","count, occurence, weight"
"US/Canada West Coast","COMGUIFIUU","Common guillemot (Uria aalge)","California","Pacific hake","PHAKEPCOAST",0.5425,"California market squid, Northern anchovy, Pacific hake","NANCHSCAL",0.921071428571429,"Lee et al. 2008","population index","Common guillemot NE Pacific",6,"Ainley et al. 1996, Baltz and Morejohn 1977, Morejohn et al. 1978, Ainley et al. 1996, Schrimpf et al. 2012, Ainley et al. 1996","weight"
"US/Canada West Coast","ELETERSDB","Elegant tern (Thalasseus elegans)","California","Northern anchovy","NANCHSCAL",0.42809,"Northern anchovy",NA,0.42809,"Schaffner 1986, Velarde et al. 2015","breeding pairs","Elegant tern NE Pacific",5,"Horn and Whitcombe 2015, Horn and Whitcombe 2015, Schaffner 1986, Horn and Whitcombe 2015, Horn and Whitcombe 2015","count"
"US/Canada West Coast","HUMPBACKCAOR","Humpback whale (Megaptera novaeangliae)","CA/OR","Pacific sardine","SARDPCOAST",0.514,"Northern anchovy, Pacific sardine","NANCHSCAL",0.727,"Calambokidis 2013","abundance (total est.)","Humpback whale NE Pacific",2,"Clapham 1997, Clapham 1997","occurence"
"US/Canada West Coast","NFURSTGEORGE","Northern fur seal (Callorhinus ursinus)","Pribolof Islands","Walleye pollock","WPOLLEBS",0.57370420325,"Armhook squid, Walleye pollock",NA,0.930191258483333,"Towell et al 2016 Figure 2","# of males (harem males + idle males)","Northern fur seal Pribolof Islands",2,"Sinclair et al 2008 Figure 3, Sinclair et al 2008 Figure 3","occurence"
"US/Canada West Coast","NFURSTPAUL","Northern fur seal (Callorhinus ursinus)","Pribolof Islands","Walleye pollock","WPOLLEBS",0.57370420325,"Armhook squid, Walleye pollock",NA,0.930191258483333,"Towell et al 2016 Figure 2","# of males (harem males + idle males)","Northern fur seal Pribolof Islands",2,"Sinclair et al 2008 Figure 3, Sinclair et al 2008 Figure 3","occurence"
"US/Canada West Coast","PHSEALWA","Pacific harbor seal (Phoca vitulina richardsi)","Washington","Pacific hake","PHAKEPCOAST",0.333,"Pacific hake",NA,0.333,"Jeffries et al. 2003","abundance (total est.)","Pacific harbor seal NE Pacific",11,"Olesiuk 1993, Orr et al. 2014, Torok 1994, Luxa and Acevedo 2013, Orr et al. 2014, Torok 1994, Orr et al. 2014, Olesiuk 1993, Orr et al. 2014, Luxa and Acevedo 2013, Orr et al. 2004","energy, occurence, weight"
"US/Canada West Coast","PHSEALJFUCA","Pacific harbor seal (Phoca vitulina richardsi)","Washington","Pacific hake","PHAKEPCOAST",0.333,"Pacific hake",NA,0.333,"Jeffries et al. 2003","abundance (total est.)","Pacific harbor seal NE Pacific",11,"Olesiuk 1993, Orr et al. 2014, Torok 1994, Luxa and Acevedo 2013, Orr et al. 2014, Torok 1994, Orr et al. 2014, Olesiuk 1993, Orr et al. 2014, Luxa and Acevedo 2013, Orr et al. 2004","energy, occurence, weight"
"US/Canada West Coast","PHSEALOR","Pacific harbor seal (Phoca vitulina richardsi)","Oregon","Pacific hake","PHAKEPCOAST",0.333,"Pacific hake",NA,0.333,"Brown et al. 2005","abundance (total est.)","Pacific harbor seal NE Pacific",11,"Olesiuk 1993, Orr et al. 2014, Torok 1994, Luxa and Acevedo 2013, Orr et al. 2014, Torok 1994, Orr et al. 2014, Olesiuk 1993, Orr et al. 2014, Luxa and Acevedo 2013, Orr et al. 2004","energy, occurence, weight"
"US/Canada West Coast","PHSEALSJI","Pacific harbor seal (Phoca vitulina richardsi)","Washington","Pacific hake","PHAKEPCOAST",0.333,"Pacific hake",NA,0.333,"Jeffries et al. 2003","abundance (total est.)","Pacific harbor seal NE Pacific",11,"Olesiuk 1993, Orr et al. 2014, Torok 1994, Luxa and Acevedo 2013, Orr et al. 2014, Torok 1994, Orr et al. 2014, Olesiuk 1993, Orr et al. 2014, Luxa and Acevedo 2013, Orr et al. 2004","energy, occurence, weight"
