"type","class","order","family","genus","species","species_sub","comm_name"
"fish","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena","Coryphaena hippurus","Coryphaena hippurus","Dolphinfish"
"fish","Actinopterygii","Perciformes","Istiophoridae","Istiophorus","Istiophorus platypterus","Istiophorus platypterus","Indo-Pacific sailfish"
"fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia albida","Kajikia albida","White marlin"
"fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia audax","Kajikia audax","Striped marlin"
"fish","Actinopterygii","Perciformes","Istiophoridae","Makaira","Makaira mazara","Makaira mazara","Indo-pacific blue marlin"
"fish","Actinopterygii","Perciformes","Istiophoridae","Makaira","Makaira nigricans","Makaira nigricans","Blue marlin"
"fish","Actinopterygii","Perciformes","Istiophoridae","Tetrapturus","Tetrapturus pfluegeri","Tetrapturus pfluegeri","Longbill spearfish"
"fish","Actinopterygii","Perciformes","Moronidae","Morone","Morone saxatilis","Morone saxatilis","Striped bass"
"fish","Actinopterygii","Perciformes","Polyprionidae","Polyprion","Polyprion americanus","Polyprion americanus","Atlantic wreckfish"
"fish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix","Pomatomus saltatrix","Bluefish"
"fish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","Cynoscion regalis","Cynoscion regalis","Weakfish"
"fish","Actinopterygii","Perciformes","Sciaenidae","Micropogonias","Micropogonias undulatus","Micropogonias undulatus","Atlantic croaker"
"fish","Actinopterygii","Perciformes","Sciaenidae","Sciaenops","Sciaenops ocellatus","Sciaenops ocellatus","Red drum"
"fish","Actinopterygii","Perciformes","Scombridae","Sarda","Sarda chiliensis","Sarda chiliensis","Eastern Pacific bonito"
"fish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Scomber japonicus","Pacific chub mackerel"
"fish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber scombrus","Scomber scombrus","Atlantic mackerel"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus albacares","Thunnus albacares","Yellowfin tuna"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus obesus","Thunnus obesus","Bigeye tuna"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus orientalis","Thunnus orientalis","Pacific bluefin tuna"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna"
"fish","Actinopterygii","Perciformes","Serranidae","Centropristis","Centropristis striata","Centropristis striata","Black sea bass"
"fish","Actinopterygii","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops","Stenotomus chrysops","Scup"
"fish","Actinopterygii","Perciformes","Xiphiidae","Xiphias","Xiphias gladius","Xiphias gladius","Swordfish"
"fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys sordidus","Citharichthys sordidus","Pacific sanddab"
"fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga","Hippoglossina oblonga","Fourspot flounder"
"fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys californicus","Paralichthys californicus","California halibut"
"fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys dentatus","Paralichthys dentatus","Summer flounder"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Atheresthes stomias","Arrowtooth flounder"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","Hippoglossus hippoglossus","Atlantic halibut"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","Pleuronichthys decurrens","Pleuronichthys decurrens","Curlfin sole"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii","Cutthroat trout"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch","Coho salmon"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Chinook salmon"
"fish","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Anoplopoma fimbria","Sablefish"
"fish","Actinopterygii","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus","Hemitripterus americanus","Atlantic sea raven"
"fish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","Ophiodon elongatus","Ophiodon elongatus","Lingcod"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes entomelas","Sebastes entomelas","Widow rockfish"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes flavidus","Sebastes flavidus","Yellowtail rockfish"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanops","Sebastes melanops","Black rockfish"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","Sebastolobus alascanus","Sebastolobus alascanus","Shortspine thornyhead"
"fish","Actinopterygii","Zeiformes","Zeidae","Zenopsis","Zenopsis conchifer","Zenopsis conchifer","Silvery John dory"
"fish","Cephalopoda","Teuthida","Loliginidae","Doryteuthis","Doryteuthis opalescens","Doryteuthis opalescens","California market squid"
"fish","Cephalopoda","Teuthida","Loliginidae","Doryteuthis","Doryteuthis pealeii","Doryteuthis pealeii","Longfin inshore squid"
"fish","Cephalopoda","Teuthida","Ommastrephidae","Dosidicus","Dosidicus gigas","Dosidicus gigas","Humboldt squid"
"fish","Cephalopoda","Teuthida","Ommastrephidae","Illex","Illex illecebrosus","Illex illecebrosus","Northern shortfin squid"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus brevipinna","Carcharhinus brevipinna","Spinner shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus falciformis","Carcharhinus falciformis","Silky shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus isodon","Carcharhinus isodon","Finetooth shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","Carcharhinus limbatus","Blacktip shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","Carcharhinus obscurus","Dusky shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus plumbeus","Carcharhinus plumbeus","Sandbar shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus signatus","Carcharhinus signatus","Night shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca","Prionace glauca","Blue shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","Rhizoprionodon terraenovae","Rhizoprionodon terraenovae","Atlantic sharpnose shark"
"fish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna zygaena","Sphyrna zygaena","Smooth hammerhead shark"
"fish","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","Galeorhinus galeus","Galeorhinus galeus","Soupfin shark"
"fish","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus canis","Mustelus canis","Smooth dogfish"
"fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias spp.","Alopias spp.","Common and bigeye thresher sharks"
"fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias superciliosus","Alopias superciliosus","Bigeye thresher shark"
"fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus","Alopias vulpinus","Common thresher shark"
"fish","Elasmobranchii","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus","Isurus oxyrinchus","Shortfin mako shark"
"fish","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus","Lamna nasus","Porbeagle shark"
"fish","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","Amblyraja radiata","Thorny skate"
"fish","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus laevis","Dipturus laevis","Barndoor skate"
"fish","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea","Leucoraja erinacea","Little skate"
"fish","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja ocellata","Leucoraja ocellata","Winter skate"
"fish","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","Squalus acanthias","Spiny dogfish"
"fish","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus suckleyi","Squalus suckleyi","Spotted spiny dogfish"
"mammals","Mammalia","Carnivora","Otariidae","Callorhinus","Callorhinus ursinus","Callorhinus ursinus","Northern fur seal"
"mammals","Mammalia","Carnivora","Otariidae","Eumetopias","Eumetopias jubatus","Eumetopias jubatus","Steller sea lion"
"mammals","Mammalia","Carnivora","Otariidae","Zalophus","Zalophus californianus","Zalophus californianus","California sea lion"
"mammals","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata","Cystophora cristata","Hooded seal"
"mammals","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus grypus","Halichoerus grypus","Grey seal"
"mammals","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina","Phoca vitulina richardsi","Pacific harbor seal"
"mammals","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina","Phoca vitulina concolor","Western Atlantic harbor seal"
"mammals","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera physalus","Balaenoptera physalus","Fin whale"
"mammals","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae","Megaptera novaeangliae","Humpback whale"
"mammals","Mammalia","Cetacea","Delphinidae","Delphinus","Delphinus capensis","Delphinus capensis","Long-beaked common dolphin"
"mammals","Mammalia","Cetacea","Delphinidae","Delphinus","Delphinus delphis","Delphinus delphis","Short-beaked common dolphin"
"mammals","Mammalia","Cetacea","Delphinidae","Globicephala","Globicephala melas","Globicephala melas","Long-finned pilot whale"
"mammals","Mammalia","Cetacea","Delphinidae","Globicephala","Globicephala spp.","Globicephala spp.","Long-finned and short-finned pilot whales"
"mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus acutus","Lagenorhynchus acutus","Atlantic white-sided dolphin"
"mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus obliquidens","Lagenorhynchus obliquidens","Pacific white-sided dolphin"
"mammals","Mammalia","Cetacea","Delphinidae","Tursiops","Tursiops truncatus","Tursiops truncatus","Atlantic bottlenose dolphin"
"mammals","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","Phocoena phocoena","Harbor porpoise"
"mammals","Mammalia","Cetacea","Phocoenidae","Phocoenoides","Phocoenoides dalli","Phocoenoides dalli","Dall's porpoise"
