"source","dietid","pred_comm","region","prey_comm","nrefs","references","prop_wt","prop_n","prop_energy","prop_occur","prop_model","prop_unk","prop_use","prop_use_type"
"Hilborn et al. (2017)","Atlantic cod NW Atlantic","Atlantic cod","NW Atlantic","Longfin inshore squid",2,"Bowman et al. 2000, Staudinger and Juanes 2010a",0.069,NA,NA,NA,NA,NA,0.069,"wt"
"Hilborn et al. (2017)","Atlantic cod NW Atlantic","Atlantic cod","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, fishecology.org",0.292,NA,NA,NA,NA,NA,0.292,"wt"
"Hilborn et al. (2017)","Atlantic halibut NW Atlantic","Atlantic halibut","NW Atlantic","Atlantic herring",1,"Link et al. 2002b",0.04,NA,NA,NA,NA,NA,0.04,"wt"
"Hilborn et al. (2017)","Atlantic halibut NW Atlantic","Atlantic halibut","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, Link et al. 2002b",0.086,NA,NA,NA,NA,NA,0.086,"wt"
"Hilborn et al. (2017)","Atlantic mackerel NW Atlantic","Atlantic mackerel","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.018,NA,NA,NA,NA,NA,0.018,"wt"
"Hilborn et al. (2017)","Atlantic mackerel NW Atlantic","Atlantic mackerel","NW Atlantic","Longfin inshore squid",2,"Smith and Link 2010, Staudinger and Juanes 2010a",0.019,NA,NA,NA,NA,NA,0.019,"wt"
"Hilborn et al. (2017)","Atlantic sea raven NW Atlantic","Atlantic sea raven","NW Atlantic","Atlantic herring",2,"fishecology.org, Vinogradov 1984",0.32,NA,NA,NA,NA,NA,0.32,"wt"
"Hilborn et al. (2017)","Atlantic sea raven NW Atlantic","Atlantic sea raven","NW Atlantic","Longfin inshore squid",1,"Staudinger and Juanes 2010a",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Atlantic sea raven NW Atlantic","Atlantic sea raven","NW Atlantic","Northern shortfin squid",2,"fishecology.org, Smith and Link 2010",0.013,NA,NA,NA,NA,NA,0.013,"wt"
"Hilborn et al. (2017)","Atlantic sharpnose shark NW Atlantic","Atlantic sharpnose shark","NW Atlantic","Gulf menhaden",2,"Bethea 2003, Bethea et al. 2004",0.03665,NA,NA,NA,NA,NA,0.03665,"wt"
"Hilborn et al. (2017)","Atlantic white-sided dolphin NW Atlantic","Atlantic white-sided dolphin","NW Atlantic","Atlantic herring",2,"Craddock et al. 2009, Katona et al. 1978",NA,0.19,NA,NA,NA,NA,0.19,"n"
"Hilborn et al. (2017)","Atlantic white-sided dolphin NW Atlantic","Atlantic white-sided dolphin","NW Atlantic","Longfin inshore squid",1,"Craddock et al. 2009",0.16,NA,NA,NA,NA,NA,0.16,"wt"
"Hilborn et al. (2017)","Atlantic white-sided dolphin NW Atlantic","Atlantic white-sided dolphin","NW Atlantic","Northern shortfin squid",2,"Craddock et al. 2009, Katona et al. 1978",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Atlantic wreckfish NW Atlantic","Atlantic wreckfish","NW Atlantic","Northern shortfin squid",1,"Goldman and Sedberry 2011",0.0286,NA,NA,NA,NA,NA,0.0286,"wt"
"Hilborn et al. (2017)","Barndoor skate NW Atlantic","Barndoor skate","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.072,NA,NA,NA,NA,NA,0.072,"wt"
"Hilborn et al. (2017)","Barrelfish NW Atlantic","Barrelfish","NW Atlantic","Northern shortfin squid",1,"Goldman and Sedberry 2011",0.028,NA,NA,NA,NA,NA,0.028,"wt"
"Hilborn et al. (2017)","Bigeye thresher shark NW Atlantic","Bigeye thresher shark","NW Atlantic","Atlantic mackerel",1,"Bowman et al. 2000",0.015,NA,NA,NA,NA,NA,0.015,"wt"
"Hilborn et al. (2017)","Bigeye thresher shark NW Atlantic","Bigeye thresher shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.119,NA,NA,NA,NA,NA,0.119,"wt"
"Hilborn et al. (2017)","Bigeye tuna NW Atlantic","Bigeye tuna","NW Atlantic","Northern shortfin squid",1,"Logan et al. 2013",0.618,NA,NA,NA,NA,NA,0.618,"wt"
"Hilborn et al. (2017)","Black rockfish NE Pacific","Black rockfish","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.419,0.006,NA,0.105,NA,NA,0.419,"wt"
"Hilborn et al. (2017)","Black sea bass NW Atlantic","Black sea bass","NW Atlantic","Atlantic herring",2,"Bowman et al. 2000, fishecology.org",0.02,NA,NA,NA,NA,NA,0.02,"wt"
"Hilborn et al. (2017)","Black sea bass NW Atlantic","Black sea bass","NW Atlantic","Longfin inshore squid",2,"Bowman et al. 2000, Staudinger and Juanes 2010a",0.023,NA,NA,NA,NA,NA,0.023,"wt"
"Hilborn et al. (2017)","Black sea bass NW Atlantic","Black sea bass","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Black-legged kittiwake NE Pacific","Black-legged kittiwake","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",NA,0.824,NA,0.875,NA,NA,0.824,"n"
"Hilborn et al. (2017)","Black-legged kittiwake NE Pacific","Black-legged kittiwake","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.118,NA,0.25,NA,NA,0.118,"n"
"Hilborn et al. (2017)","Black-vented shearwater NE Pacific","Black-vented shearwater","NE Pacific","Northern anchovy",1,"Keitt et al. 2000",NA,NA,NA,0.3,NA,NA,0.3,"occur"
"Hilborn et al. (2017)","Black-vented shearwater NE Pacific","Black-vented shearwater","NE Pacific","Pacific sardine",1,"Keitt et al. 2000",NA,NA,NA,0.1,NA,NA,0.1,"occur"
"Hilborn et al. (2017)","Blacktip shark NW Atlantic","Blacktip shark","NW Atlantic","Gulf menhaden",3,"Barry et al. 2008, Bethea 2003, Bethea et al. 2004",0.431675,NA,NA,NA,NA,NA,0.431675,"wt"
"Hilborn et al. (2017)","Blue shark NE Pacific","Blue shark","NE Pacific","California market squid",2,"Markaida and Sosa 2010, Preti et al. 2012",0.00675,0.0367,NA,0.0877,NA,NA,0.00675,"wt"
"Hilborn et al. (2017)","Blue shark NE Pacific","Blue shark","NE Pacific","Northern anchovy",2,"Brodeur et al. 1987, Markaida and Sosa 2010",0.08274,0.11582,NA,0.09245,NA,NA,0.08274,"wt"
"Hilborn et al. (2017)","Blue shark NE Pacific","Blue shark","NE Pacific","Pacific chub mackerel",2,"Markaida and Sosa 2010, Preti et al. 2012",0.0955,0.0455714285714286,NA,0.0209,NA,NA,0.0955,"wt"
"Hilborn et al. (2017)","Blue shark NE Pacific","Blue shark","NE Pacific","Pacific hake",3,"Brodeur et al. 1987, Markaida and Sosa 2010, Preti et al. 2012",0.169728571428571,0.0437142857142857,NA,0.0664333333333333,NA,NA,0.169728571428571,"wt"
"Hilborn et al. (2017)","Blue shark NE Pacific","Blue shark","NE Pacific","Pacific sardine",3,"Emmet et al. 2005, Markaida and Sosa 2010, Preti et al. 2012",0.0927833333333333,0.03285,NA,0.346733333333333,NA,NA,0.0927833333333333,"wt"
"Hilborn et al. (2017)","Blue shark NW Atlantic","Blue shark","NW Atlantic","Atlantic herring",1,"Bowman et al. 2000",0.004,NA,NA,NA,NA,NA,0.004,"wt"
"Hilborn et al. (2017)","Blue shark NW Atlantic","Blue shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.037,NA,NA,NA,NA,NA,0.037,"wt"
"Hilborn et al. (2017)","Bluefish NW Atlantic","Bluefish","NW Atlantic","Atlantic herring",4,"Bowman et al. 2000, Buckel et al. 1999b, fishecology.org, Smith and Link 2010",0.0835,NA,NA,NA,NA,NA,0.0835,"wt"
"Hilborn et al. (2017)","Bluefish NW Atlantic","Bluefish","NW Atlantic","Atlantic mackerel",3,"Bowman et al. 2000, Buckel et al. 1999b, Smith and Link 2010",0.011,NA,NA,NA,NA,NA,0.011,"wt"
"Hilborn et al. (2017)","Bluefish NW Atlantic","Bluefish","NW Atlantic","Atlantic menhaden",3,"Bowman et al. 2000, Sagarese et al. 2011, Smith and Link 2010",0.125,NA,NA,NA,NA,NA,0.125,"wt"
"Hilborn et al. (2017)","Bluefish NW Atlantic","Bluefish","NW Atlantic","Longfin inshore squid",5,"Bowman et al. 2000, Buckel et al. 1999b, Smith and Link 2010, Staudinger 2006, Staudinger and Juanes 2010a",0.101684210526316,NA,NA,NA,NA,NA,0.101684210526316,"wt"
"Hilborn et al. (2017)","Bluefish NW Atlantic","Bluefish","NW Atlantic","Northern shortfin squid",3,"fishecology.org, Smith and Link 2010, Staudinger 2006",0.06125,NA,NA,NA,NA,NA,0.06125,"wt"
"Hilborn et al. (2017)","Bonaparte's gull NE Pacific","Bonaparte's gull","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.017,NA,0.167,NA,NA,0.017,"n"
"Hilborn et al. (2017)","Brandt cormorant NE Pacific","Brandt cormorant","NE Pacific","California market squid",3,"Baltz and Morejohn 1977, Morejohn et al. 1978, Webb 2013",NA,0.0536666666666667,NA,0.124333333333333,NA,NA,0.0536666666666667,"n"
"Hilborn et al. (2017)","Brandt cormorant NE Pacific","Brandt cormorant","NE Pacific","Northern anchovy",3,"Baltz and Morejohn 1977, Elliot et al. 2015, Webb 2013",NA,0.199925925925926,NA,0.584333333333333,NA,NA,0.199925925925926,"n"
"Hilborn et al. (2017)","Brandt cormorant NE Pacific","Brandt cormorant","NE Pacific","Pacific chub mackerel",1,"Webb 2013",NA,0.0015,NA,0.02,NA,NA,0.0015,"n"
"Hilborn et al. (2017)","Brandt cormorant NE Pacific","Brandt cormorant","NE Pacific","Pacific hake",1,"Webb 2013",NA,0.0025,NA,0.003,NA,NA,0.0025,"n"
"Hilborn et al. (2017)","Brandt cormorant NE Pacific","Brandt cormorant","NE Pacific","Pacific sardine",1,"Webb 2013",NA,0.0315,NA,0.0705,NA,NA,0.0315,"n"
"Hilborn et al. (2017)","Brown pelican NW Atlantic","Brown pelican","NW Atlantic","Atlantic menhaden",1,"Fogarty et al. 1981",NA,0.14,NA,NA,NA,NA,0.14,"n"
"Hilborn et al. (2017)","California brown pelican NE Pacific","California brown pelican","NE Pacific","Northern anchovy",2,"Sunada et al. 1981, Velarde et al. 2015",NA,0.626,NA,NA,NA,NA,0.626,"n"
"Hilborn et al. (2017)","California brown pelican NE Pacific","California brown pelican","NE Pacific","Pacific sardine",1,"Velarde et al. 2015",NA,0.34,NA,NA,NA,NA,0.34,"n"
"Hilborn et al. (2017)","California gull NE Pacific","California gull","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.5,NA,0.6,NA,NA,0.5,"n"
"Hilborn et al. (2017)","California gull NE Pacific","California gull","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.167,NA,0.4,NA,NA,0.167,"n"
"Hilborn et al. (2017)","California halibut NE Pacific","California halibut","NE Pacific","Northern anchovy",1,"Plummer et al. 1983",0.816,NA,NA,NA,NA,NA,0.816,"wt"
"Hilborn et al. (2017)","California sea lion NE Pacific","California sea lion","NE Pacific","California market squid",3,"Lowry and Carreta 1999, Morejohn et al. 1978, Orr et al. 2011",0.08,NA,NA,0.335846153846154,NA,NA,0.08,"wt"
"Hilborn et al. (2017)","California sea lion NE Pacific","California sea lion","NE Pacific","Northern anchovy",4,"Garcia-Rodriguez and Aurioles-Gamboa 2004, Lowry and Carreta 1999, Mellinkelal 2005, Orr et al. 2011",NA,0.107333333333333,NA,0.44225,NA,NA,0.107333333333333,"n"
"Hilborn et al. (2017)","California sea lion NE Pacific","California sea lion","NE Pacific","Pacific chub mackerel",2,"Lowry and Carreta 1999, Orr et al. 2011",NA,NA,NA,0.0453846153846154,NA,NA,0.0453846153846154,"occur"
"Hilborn et al. (2017)","California sea lion NE Pacific","California sea lion","NE Pacific","Pacific hake",3,"Garcia-Rodriguez and Aurioles-Gamboa 2004, Lowry and Carreta 1999, Orr et al. 2011",NA,0.0104,NA,0.243385714285714,NA,NA,0.0104,"n"
"Hilborn et al. (2017)","California sea lion NE Pacific","California sea lion","NE Pacific","Pacific sardine",3,"Garcia-Rodriguez and Aurioles-Gamboa 2004, Lowry and Carreta 1999, Orr et al. 2011",NA,0.068,NA,0.337457142857143,NA,NA,0.068,"n"
"Hilborn et al. (2017)","Chinook salmon NE Pacific","Chinook salmon","NE Pacific","California market squid",4,"Baldwin et al. 2008, Brodeur et al. 1987, Hunt et al. 1999, Morejohn et al. 1978",0.0478571428571429,0.0055,NA,0.043,NA,NA,0.0478571428571429,"wt"
"Hilborn et al. (2017)","Chinook salmon NE Pacific","Chinook salmon","NE Pacific","Northern anchovy",7,"Baldwin et al. 2008, Brodeur 1987, Hunt et al. 1999, Morejohn et al. 1978, Schabetsberger et al. 2003, Silliman 1941, Thayer et al. 2014",0.30840625,0.0246642857142857,NA,0.146666666666667,NA,NA,0.30840625,"wt"
"Hilborn et al. (2017)","Chinook salmon NE Pacific","Chinook salmon","NE Pacific","Pacific hake",1,"Brodeur et al. 1987",0.1,NA,NA,0.036,NA,NA,0.1,"wt"
"Hilborn et al. (2017)","Coho salmon NE Pacific","Coho salmon","NE Pacific","California market squid",3,"Baldwin et al. 2008, Brodeur et al. 1987, Morejohn et al. 1978",0.0495,0.001,NA,0.0296,NA,NA,0.0495,"wt"
"Hilborn et al. (2017)","Coho salmon NE Pacific","Coho salmon","NE Pacific","Northern anchovy",3,"Baldwin et al. 2008, Brodeur 1987, Silliman 1941",0.242125,0.00783333333333333,NA,0.138142857142857,NA,NA,0.242125,"wt"
"Hilborn et al. (2017)","Coho salmon NE Pacific","Coho salmon","NE Pacific","Pacific sardine",3,"Baldwin et al. 2008, Emmet et al. 2005, Silliman 1941",0.18297,0.04,NA,0.5584,NA,NA,0.18297,"wt"
"Hilborn et al. (2017)","Common guillemot NE Pacific","Common guillemot","NE Pacific","California market squid",3,"Ainley et al. 1996, Baltz and Morejohn 1977, Morejohn et al. 1978",0.22,0.0785833333333333,NA,0.295375,NA,NA,0.22,"wt"
"Hilborn et al. (2017)","Common guillemot NE Pacific","Common guillemot","NE Pacific","Northern anchovy",2,"Ainley et al. 1996, Schrimpf et al. 2012",0.158571428571429,0.120865217391304,NA,0.241428571428571,NA,NA,0.158571428571429,"wt"
"Hilborn et al. (2017)","Common guillemot NE Pacific","Common guillemot","NE Pacific","Pacific hake",1,"Ainley et al. 1996",0.5425,0.125,NA,0.185,NA,NA,0.5425,"wt"
"Hilborn et al. (2017)","Common thresher shark NE Pacific","Common thresher shark","NE Pacific","California market squid",2,"Preti et al. 2004, Preti et al. 2012",0.0209333333333333,0.0770666666666667,NA,0.191166666666667,NA,NA,0.0209333333333333,"wt"
"Hilborn et al. (2017)","Common thresher shark NE Pacific","Common thresher shark","NE Pacific","Northern anchovy",2,"Preti et al. 2004, Preti et al. 2012",0.412866666666667,0.467066666666667,NA,0.311333333333333,NA,NA,0.412866666666667,"wt"
"Hilborn et al. (2017)","Common thresher shark NE Pacific","Common thresher shark","NE Pacific","Pacific chub mackerel",2,"Preti et al. 2004, Preti et al. 2012",0.114433333333333,0.0137666666666667,NA,0.112133333333333,NA,NA,0.114433333333333,"wt"
"Hilborn et al. (2017)","Common thresher shark NE Pacific","Common thresher shark","NE Pacific","Pacific hake",2,"Preti et al. 2004, Preti et al. 2012",0.106833333333333,0.0853,NA,0.1342,NA,NA,0.106833333333333,"wt"
"Hilborn et al. (2017)","Common thresher shark NE Pacific","Common thresher shark","NE Pacific","Pacific sardine",2,"Preti et al. 2004, Preti et al. 2012",0.160366666666667,0.1268,NA,0.178766666666667,NA,NA,0.160366666666667,"wt"
"Hilborn et al. (2017)","Common thresher shark NW Atlantic","Common thresher shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.022,NA,NA,NA,NA,NA,0.022,"wt"
"Hilborn et al. (2017)","Curlfin sole NE Pacific","Curlfin sole","NE Pacific","California market squid",1,"Morejohn et al. 1978",0.36,NA,NA,NA,NA,NA,0.36,"wt"
"Hilborn et al. (2017)","Cutthroat trout NE Pacific","Cutthroat trout","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.4795,0.1495,NA,0.3345,NA,NA,0.4795,"wt"
"Hilborn et al. (2017)","Dall's porpoise NE Pacific","Dall's porpoise","NE Pacific","California market squid",1,"Walker et al. 1998",0.012,NA,NA,NA,NA,NA,0.012,"wt"
"Hilborn et al. (2017)","Dall's porpoise NE Pacific","Dall's porpoise","NE Pacific","Pacific hake",2,"Nichol et al. 2013, Walker et al. 1998",0.057,NA,NA,NA,NA,NA,0.057,"wt"
"Hilborn et al. (2017)","Dolphinfish NW Atlantic","Dolphinfish","NW Atlantic","Northern shortfin squid",2,"Logan et al. 2013, Tefferet 2015",0.321,NA,NA,NA,NA,NA,0.321,"wt"
"Hilborn et al. (2017)","Dusky shark NW Atlantic","Dusky shark","NW Atlantic","Longfin inshore squid",1,"Bowman et al. 2000",0.247,NA,NA,NA,NA,NA,0.247,"wt"
"Hilborn et al. (2017)","Eastern Pacific bonito NE Pacific","Eastern Pacific bonito","NE Pacific","California market squid",1,"Pinkas et al. 1971",0.1815,0.0985,NA,0.2475,NA,NA,0.1815,"wt"
"Hilborn et al. (2017)","Eastern Pacific bonito NE Pacific","Eastern Pacific bonito","NE Pacific","Northern anchovy",1,"Pinkas et al. 1971",0.7545,0.65,NA,0.5585,NA,NA,0.7545,"wt"
"Hilborn et al. (2017)","Eastern Pacific bonito NE Pacific","Eastern Pacific bonito","NE Pacific","Pacific hake",1,"Pinkas et al. 1971",0.001,NA,NA,0.0175,NA,NA,0.001,"wt"
"Hilborn et al. (2017)","Elegant tern NE Pacific","Elegant tern","NE Pacific","California market squid",1,"Horn and Whitcombe 2015",NA,0.0189444444444444,NA,0.5,NA,NA,0.0189444444444444,"n"
"Hilborn et al. (2017)","Elegant tern NE Pacific","Elegant tern","NE Pacific","Northern anchovy",2,"Horn and Whitcombe 2015, Schaffner 1986",NA,0.42809,NA,1,NA,NA,0.42809,"n"
"Hilborn et al. (2017)","Elegant tern NE Pacific","Elegant tern","NE Pacific","Pacific chub mackerel",1,"Horn and Whitcombe 2015",NA,0.00595555555555556,NA,0.278,NA,NA,0.00595555555555556,"n"
"Hilborn et al. (2017)","Elegant tern NE Pacific","Elegant tern","NE Pacific","Pacific sardine",1,"Horn and Whitcombe 2015",NA,0.0649055555555556,NA,0.889,NA,NA,0.0649055555555556,"n"
"Hilborn et al. (2017)","Fin whale NW Atlantic","Fin whale","NW Atlantic","Atlantic herring",1,"Overholtz and Link 2007",0.308571428571429,NA,NA,NA,NA,NA,0.308571428571429,"wt"
"Hilborn et al. (2017)","Finetooth shark NW Atlantic","Finetooth shark","NW Atlantic","Gulf menhaden",2,"Bethea 2003, Bethea et al. 2004",0.7466,NA,NA,NA,NA,NA,0.7466,"wt"
"Hilborn et al. (2017)","Fourspot flounder NW Atlantic","Fourspot flounder","NW Atlantic","Longfin inshore squid",3,"Link et al. 2002b, Smith and Link 2010, Staudinger and Juanes 2010a",0.14025,NA,NA,NA,NA,NA,0.14025,"wt"
"Hilborn et al. (2017)","Fourspot flounder NW Atlantic","Fourspot flounder","NW Atlantic","Northern shortfin squid",2,"fishecology.org, Smith and Link 2010",0.033,NA,NA,NA,NA,NA,0.033,"wt"
"Hilborn et al. (2017)","Glaucous-winged gull NE Pacific","Glaucous-winged gull","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.55,NA,0.375,NA,NA,0.55,"n"
"Hilborn et al. (2017)","Glaucous-winged gull NE Pacific","Glaucous-winged gull","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.15,NA,0.125,NA,NA,0.15,"n"
"Hilborn et al. (2017)","Goosefish NW Atlantic","Goosefish","NW Atlantic","Atlantic herring",2,"Bowman et al. 2000, fishecology.org",0.013,NA,NA,NA,NA,NA,0.013,"wt"
"Hilborn et al. (2017)","Goosefish NW Atlantic","Goosefish","NW Atlantic","Atlantic mackerel",1,"Smith and Link 2010",0.034,NA,NA,NA,NA,NA,0.034,"wt"
"Hilborn et al. (2017)","Goosefish NW Atlantic","Goosefish","NW Atlantic","Longfin inshore squid",3,"Bowman et al. 2000, Staudinger 2006, Staudinger and Juanes 2010a",0.0338,NA,NA,NA,NA,NA,0.0338,"wt"
"Hilborn et al. (2017)","Goosefish NW Atlantic","Goosefish","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, fishecology.org",0.24675,NA,NA,NA,NA,NA,0.24675,"wt"
"Hilborn et al. (2017)","Grey seal NW Atlantic","Grey seal","NW Atlantic","Atlantic herring",3,"Ampela 2009, Becket et al. 2007, Bowen et al. 1993 ",0.0966,NA,NA,NA,NA,NA,0.0966,"wt"
"Hilborn et al. (2017)","Grey seal NW Atlantic","Grey seal","NW Atlantic","Atlantic mackerel",2,"Ampela 2009, Bowen et al. 1993 ",0.162666666666667,NA,NA,NA,NA,NA,0.162666666666667,"wt"
"Hilborn et al. (2017)","Grey seal NW Atlantic","Grey seal","NW Atlantic","Longfin inshore squid",2,"Ampela 2009, Staudinger and Juanes 2010a",0.014,NA,NA,NA,NA,NA,0.014,"wt"
"Hilborn et al. (2017)","Haddock NW Atlantic","Haddock","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.014,NA,NA,NA,NA,NA,0.014,"wt"
"Hilborn et al. (2017)","Haddock NW Atlantic","Haddock","NW Atlantic","Atlantic mackerel",1,"Smith and Link 2010",0.025,NA,NA,NA,NA,NA,0.025,"wt"
"Hilborn et al. (2017)","Harbor porpoise NE Pacific","Harbor porpoise","NE Pacific","California market squid",3,"Morejohn et al. 1978, Toperoff 2002, Walker et al. 1998",0.38045,NA,NA,NA,NA,NA,0.38045,"wt"
"Hilborn et al. (2017)","Harbor porpoise NE Pacific","Harbor porpoise","NE Pacific","Northern anchovy",3,"Nichol et al. 2013, Sekiguchi 1995, Toperoff 2002",0.18705,0.1656,NA,NA,NA,NA,0.18705,"wt"
"Hilborn et al. (2017)","Harbor porpoise NE Pacific","Harbor porpoise","NE Pacific","Pacific hake",4,"Morejohn et al. 1978, Nichol et al. 2013, Toperoff 2002, Walker et al. 1998",0.1279,NA,NA,NA,NA,NA,0.1279,"wt"
"Hilborn et al. (2017)","Harbor porpoise NE Pacific","Harbor porpoise","NE Pacific","Pacific sardine",1,"Toperoff 2002",0.0642,NA,NA,NA,NA,NA,0.0642,"wt"
"Hilborn et al. (2017)","Harbor porpoise NW Atlantic","Harbor porpoise","NW Atlantic","Atlantic herring",2,"Gannon et al. 1998, Recchia and Read 1989",0.573333333333333,NA,NA,NA,NA,NA,0.573333333333333,"wt"
"Hilborn et al. (2017)","Harbor porpoise NW Atlantic","Harbor porpoise","NW Atlantic","Atlantic menhaden",1,"Gannon et al. 1998",0.015,NA,NA,NA,NA,NA,0.015,"wt"
"Hilborn et al. (2017)","Harbor porpoise NW Atlantic","Harbor porpoise","NW Atlantic","Longfin inshore squid",1,"Gannon et al. 1998",0.01,NA,NA,NA,NA,NA,0.01,"wt"
"Hilborn et al. (2017)","Harbor porpoise NW Atlantic","Harbor porpoise","NW Atlantic","Northern shortfin squid",1,"Gannon et al. 1998",0.01,NA,NA,NA,NA,NA,0.01,"wt"
"Hilborn et al. (2017)","Heermann gull NE Pacific","Heermann gull","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",NA,0.256,NA,0.133,NA,NA,0.256,"n"
"Hilborn et al. (2017)","Heermann gull NE Pacific","Heermann gull","NE Pacific","Northern anchovy",2,"Baltz and Morejohn 1977, Velarde et al. 2015",NA,0.554833333333333,NA,0.467,NA,NA,0.554833333333333,"n"
"Hilborn et al. (2017)","Heermann gull NE Pacific","Heermann gull","NE Pacific","Pacific sardine",1,"Velarde et al. 2015",NA,0.282,NA,NA,NA,NA,0.282,"n"
