"type","class","order","family","genus","species","species_sub","comm_name"
"birds","Aves","Ciconiiformes","Laridae","Rissa","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake"
"birds","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius parasiticus","Stercorarius parasiticus","Arctic skua"
"birds","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius skua","Stercorarius skua","Great skua"
"birds","Aves","Ciconiiformes","Laridae","Sterna","Sterna paradisaea","Sterna paradisaea","Arctic tern"
"birds","Aves","Ciconiiformes","Sulidae","Sula","Sula variegata","Sula variegata","Peruvian booby"
"birds","Aves","Charadriiformes","Alcidae","Synthliboramphus","Synthliboramphus hypoleucus","Synthliboramphus hypoleucus","Xantus's murrellet"
"birds","Aves","Ciconiiformes","Laridae","Thalasseus","Thalasseus elegans","Thalasseus elegans","Elegant tern"
"birds","Aves","Charadriiformes","Alcidae","Uria","Uria aalge","Uria aalge","Common guillemot"
"fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias spp.","Alopias spp.","Common and bigeye thresher sharks"
"fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias superciliosus","Alopias superciliosus","Bigeye thresher shark"
"fish","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus","Alopias vulpinus","Common thresher shark"
"fish","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","Amblyraja radiata","Thorny skate"
"fish","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes marinus","Ammodytes marinus","Lesser sand-eel"
"fish","Actinopterygii","Perciformes","Ammodytidae",NA,"Ammodytidae spp.","Ammodytidae spp.","Sandeel spp."
"fish","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Anoplopoma fimbria","Sablefish"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Atheresthes stomias","Arrowtooth flounder"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia patronus","Brevoortia patronus","Gulf menhaden"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","Brevoortia tyrannus","Atlantic menhaden"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus brevipinna","Carcharhinus brevipinna","Spinner shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus falciformis","Carcharhinus falciformis","Silky shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus isodon","Carcharhinus isodon","Finetooth shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","Carcharhinus limbatus","Blacktip shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","Carcharhinus obscurus","Dusky shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus plumbeus","Carcharhinus plumbeus","Sandbar shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus signatus","Carcharhinus signatus","Night shark"
"fish","Actinopterygii","Perciformes","Serranidae","Centropristis","Centropristis striata","Centropristis striata","Black sea bass"
"fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys sordidus","Citharichthys sordidus","Pacific sanddab"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Atlantic herring"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus (spring spawning)","Atlantic herring (spring spawning)"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Clupea pallasii pallasii","Pacific herring"
"fish","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis","Cololabis saira","Cololabis saira","Pacific saury"
"fish","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena","Coryphaena hippurus","Coryphaena hippurus","Dolphinfish"
"fish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","Cynoscion regalis","Cynoscion regalis","Weakfish"
"fish","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus laevis","Dipturus laevis","Barndoor skate"
"fish","Cephalopoda","Teuthida","Loliginidae","Doryteuthis","Doryteuthis opalescens","Doryteuthis opalescens","California market squid"
"fish","Cephalopoda","Teuthida","Loliginidae","Doryteuthis","Doryteuthis pealeii","Doryteuthis pealeii","Longfin inshore squid"
"fish","Cephalopoda","Teuthida","Ommastrephidae","Dosidicus","Dosidicus gigas","Dosidicus gigas","Humboldt squid"
"fish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax","Engraulis mordax","Northern anchovy"
"fish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","Engraulis ringens","Peruvian anchoveta"
"fish","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla","Eutrigla gurnardus","Eutrigla gurnardus","Grey gurnard"
"fish","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod"
"fish","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","Galeorhinus galeus","Galeorhinus galeus","Soupfin shark"
"fish","Actinopterygii","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus","Hemitripterus americanus","Atlantic sea raven"
"fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga","Hippoglossina oblonga","Fourspot flounder"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","Hippoglossus hippoglossus","Atlantic halibut"
"fish","Actinopterygii","Perciformes","Centrolophidae","Hyperoglyphe","Hyperoglyphe perciformis","Hyperoglyphe perciformis","Barrelfish"
"fish","Cephalopoda","Teuthida","Ommastrephidae","Illex","Illex illecebrosus","Illex illecebrosus","Northern shortfin squid"
"fish","Actinopterygii","Perciformes","Istiophoridae","Istiophorus","Istiophorus platypterus","Istiophorus platypterus","Indo-Pacific sailfish"
"fish","Elasmobranchii","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus","Isurus oxyrinchus","Shortfin mako shark"
"fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia albida","Kajikia albida","White marlin"
"fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia audax","Kajikia audax","Striped marlin"
"fish","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus","Lamna nasus","Porbeagle shark"
"fish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","Lepidorhombus whiffiagonis","Lepidorhombus whiffiagonis","Megrim"
"fish","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea","Leucoraja erinacea","Little skate"
"fish","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja ocellata","Leucoraja ocellata","Winter skate"
"fish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius americanus","Lophius americanus","Goosefish"
"fish","Malacostraca","Decapoda","Majidae",NA,"Majidae spp.","Majidae spp.","Large crabs"
"fish","Actinopterygii","Perciformes","Istiophoridae","Makaira","Makaira mazara","Makaira mazara","Indo-pacific blue marlin"
"fish","Actinopterygii","Perciformes","Istiophoridae","Makaira","Makaira nigricans","Makaira nigricans","Blue marlin"
"fish","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","Mallotus villosus","Capelin"
"fish","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock"
"fish","Actinopterygii","Gadiformes","Gadidae","Merlangius","Merlangius merlangus","Merlangius merlangus","Whiting"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus","Merluccius albidus","Offshore hake"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","Merluccius bilinearis","Silver hake"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","Merluccius merluccius","European hake"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius productus","Merluccius productus","Pacific hake"
"fish","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Micromesistius poutassou","Blue whiting"
"fish","Actinopterygii","Perciformes","Sciaenidae","Micropogonias","Micropogonias undulatus","Micropogonias undulatus","Atlantic croaker"
"fish","Actinopterygii","Perciformes","Moronidae","Morone","Morone saxatilis","Morone saxatilis","Striped bass"
"fish","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus canis","Mustelus canis","Smooth dogfish"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus clarkii","Cutthroat trout"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch","Coho salmon"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Chinook salmon"
"fish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","Ophiodon elongatus","Ophiodon elongatus","Lingcod"
"fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys californicus","Paralichthys californicus","California halibut"
"fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys dentatus","Paralichthys dentatus","Summer flounder"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","Pleuronichthys decurrens","Pleuronichthys decurrens","Curlfin sole"
"fish","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock"
"fish","Actinopterygii","Perciformes","Polyprionidae","Polyprion","Polyprion americanus","Polyprion americanus","Atlantic wreckfish"
"fish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix","Pomatomus saltatrix","Bluefish"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca","Prionace glauca","Blue shark"
"fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","Rhizoprionodon terraenovae","Rhizoprionodon terraenovae","Atlantic sharpnose shark"
"fish","Actinopterygii","Perciformes","Scombridae","Sarda","Sarda chiliensis","Sarda chiliensis","Eastern Pacific bonito"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","Sardinops sagax","Pacific sardine"
"fish","Actinopterygii","Perciformes","Sciaenidae","Sciaenops","Sciaenops ocellatus","Sciaenops ocellatus","Red drum"
"fish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","Scomber japonicus","Pacific chub mackerel"
"fish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber scombrus","Scomber scombrus","Atlantic mackerel"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes entomelas","Sebastes entomelas","Widow rockfish"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes flavidus","Sebastes flavidus","Yellowtail rockfish"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanops","Sebastes melanops","Black rockfish"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","Sebastolobus alascanus","Sebastolobus alascanus","Shortspine thornyhead"
"fish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna zygaena","Sphyrna zygaena","Smooth hammerhead shark"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","European sprat"
"fish","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","Squalus acanthias","Spiny dogfish"
"fish","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus suckleyi","Squalus suckleyi","Spotted spiny dogfish"
"fish","Actinopterygii","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops","Stenotomus chrysops","Scup"
"fish","Actinopterygii","Perciformes","Istiophoridae","Tetrapturus","Tetrapturus pfluegeri","Tetrapturus pfluegeri","Longbill spearfish"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus albacares","Thunnus albacares","Yellowfin tuna"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus obesus","Thunnus obesus","Bigeye tuna"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus orientalis","Thunnus orientalis","Pacific bluefin tuna"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus murphyi","Trachurus murphyi","Chilean jack mackerel"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus symmetricus","Trachurus symmetricus","Jack mackerel"
"fish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trachurus","Trachurus trachurus","Horse mackerel"
"fish","Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","Trisopterus esmarkii","Norway pout"
"fish","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis chuss","Urophycis chuss","Red hake"
"fish","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis regia","Urophycis regia","Spotted hake"
"fish","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis tenuis","Urophycis tenuis","White hake"
"fish","Actinopterygii","Perciformes","Xiphiidae","Xiphias","Xiphias gladius","Xiphias gladius","Swordfish"
"fish","Actinopterygii","Zeiformes","Zeidae","Zenopsis","Zenopsis conchifer","Zenopsis conchifer","Silvery John dory"
"mammals","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata","Balaenoptera acutorostrata","Common minke whale"
"mammals","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera physalus","Balaenoptera physalus","Fin whale"
"mammals","Mammalia","Carnivora","Otariidae","Callorhinus","Callorhinus ursinus","Callorhinus ursinus","Northern fur seal"
"mammals","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata","Cystophora cristata","Hooded seal"
"mammals","Mammalia","Cetacea","Delphinidae","Delphinus","Delphinus capensis","Delphinus capensis","Long-beaked common dolphin"
"mammals","Mammalia","Cetacea","Delphinidae","Delphinus","Delphinus delphis","Delphinus delphis","Short-beaked common dolphin"
"mammals","Mammalia","Carnivora","Otariidae","Eumetopias","Eumetopias jubatus","Eumetopias jubatus","Steller sea lion"
"mammals","Mammalia","Cetacea","Delphinidae","Globicephala","Globicephala melas","Globicephala melas","Long-finned pilot whale"
"mammals","Mammalia","Cetacea","Delphinidae","Globicephala","Globicephala spp.","Globicephala spp.","Long-finned and short-finned pilot whales"
"mammals","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus grypus","Halichoerus grypus","Grey seal"
"mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus acutus","Lagenorhynchus acutus","Atlantic white-sided dolphin"
"mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus obliquidens","Lagenorhynchus obliquidens","Pacific white-sided dolphin"
"mammals","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae","Megaptera novaeangliae","Humpback whale"
"mammals","Mammalia","Carnivora","Phocidae","Pagophilus","Pagophilus groenlandicus","Pagophilus groenlandicus","Harp seal"
"mammals","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina","Phoca vitulina concolor","Western Atlantic harbor seal"
"mammals","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina","Phoca vitulina richardsi","Pacific harbor seal"
"mammals","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","Phocoena phocoena","Harbor porpoise"
"mammals","Mammalia","Cetacea","Phocoenidae","Phocoenoides","Phocoenoides dalli","Phocoenoides dalli","Dall's porpoise"
"mammals","Mammalia","Cetacea","Delphinidae","Tursiops","Tursiops truncatus","Tursiops truncatus","Atlantic bottlenose dolphin"
"mammals","Mammalia","Carnivora","Otariidae","Zalophus","Zalophus californianus","Zalophus californianus","California sea lion"
