"","stocklong","stocklong_orig","stockid","ocean","region","area","species","comm_name","nyr","n_units","reference","r","k"
"18","White marlin Atlantic Ocean","White marlin Atlantic RAM NA","WMARLINATL","NW Atlantic","Atlantic Ocean","Atlantic Ocean","Kajikia albida","White marlin",56,"ram","RAM",0.15203672020254,30700.213696661
"19","Yellowfin tuna Atlantic Ocean","Yellowfin tuna Atlantic RAM NA","YFINATL","NW Atlantic","Atlantic Ocean","Atlantic Ocean","Thunnus albacares","Yellowfin tuna",62,"ram","RAM",0.487218055165359,1152936.45637639
"20","Albacore tuna North Pacific Ocean","Albacore tuna North Pacific RAM NA","ALBANPAC","NE Pacific","US West Coast","North Pacific Ocean","Thunnus alalunga","Albacore tuna",45,"ram","RAM",0.132670216507108,2644824.31033335
"21","Arrowtooth flounder Pacific Coast","Arrowtooth flounder Pacific Coast RAM NA","ARFLOUNDPCOAST","NE Pacific","US West Coast","Pacific Coast","Atheresthes stomias","Arrowtooth flounder",92,"ram","RAM",0.0919720536500317,211022.572141802
"22","Black rockfish Northern Pacific Coast","Black rockfish Northern Pacific Coast RAM NA","BLACKROCKNPCOAST","NE Pacific","US West Coast","Northern Pacific Coast","Sebastes melanops","Black rockfish",92,"ram","RAM",0.128615583600646,13058.8006257993
"23","Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island",NA,"NE Pacific","California","South Farallon Island","Phalacrocorax penicillatus","Brandt cormorant",42,"breeding adults","Elliot et al. 2015",0.551306194049738,13041.6299077471
"24","California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono",NA,"NE Pacific","California","Lake Mono","Larus californicus","California gull",21,"breeding adults","Wrege et al. 2006",0.72729818857873,49529.5014796904
"25","California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB",NA,"NE Pacific","California","Southern SCB","Zalophus californianus","California sea lion",33,"pups","NOAA 2011",0.204978058344546,45324.5437166712
"26","Common thresher shark West Coast US [cpue]","Thresher Shark CPUE West Coast US",NA,"NE Pacific","US West Coast","West Coast US","Alopias vulpinus","Common thresher shark",24,"cpue","NMFS unpublished",0.0657630880662516,0.219654327116286
"27","Cutthroat trout Nestucca River [abundance index]","Cutthroat trout Index of abundance Nestucca River",NA,"NE Pacific","Oregon","Nestucca River","Oncorhynchus clarkii","Cutthroat trout",33,"abundance index","OR Native Fish Status Report Vol II",0.633685213676924,6.25850893616301
"28","Cutthroat trout Wilson and Tasks Rivers [abundance index]","Cutthroat trout Index of abundance Wilson and Tasks Rivers",NA,"NE Pacific","Oregon","Wilson and Tasks Rivers","Oncorhynchus clarkii","Cutthroat trout",36,"abundance index","OR Native Fish Status Report Vol II",0.320551645083034,7.75203564361129
"29","Elegant tern Isla Rasa [breeding pairs]","Elegant Tern Breeding Pairs Isla Rasa",NA,"NE Pacific","Gulf of California","Isla Rasa","Thalasseus elegans","Elegant tern",35,"breeding pairs","Velarde et al. 2015",0.746137162146258,60525.4533373371
"30","Elegant tern San Diego Bay [breeding pairs]","Elegant Tern Breeding Pairs San Diego Bay",NA,"NE Pacific","California","San Diego Bay","Thalasseus elegans","Elegant tern",33,"breeding pairs","Schaffner 1986, Velarde et al. 2015",0.649979528601231,7980.58328937253
"31","Northern fur seal San Miguel Islands [pups]","Northern fur seal Pups San Miguel Is",NA,"NE Pacific","California","San Miguel Islands","Callorhinus ursinus","Northern fur seal",38,"pups","NOAA 2013",0.413675029270398,2222.17722551495
"32","Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock",NA,"NE Pacific","Pacific Ocean","Pacific Ocean","Thunnus orientalis","Pacific bluefin tuna",61,"biomass (total)","PBT Stock Assessment 2014",NA,NA
"33","Shortspine thornyhead Pacific Coast","Shortspine thornyhead Pacific Coast RAM NA","SSTHORNHPCOAST","NE Pacific","US West Coast","Pacific Coast","Sebastolobus alascanus","Shortspine thornyhead",105,"ram","RAM",0.0142535659785324,185289.117256598
"34","Striped marlin North Pacific","Striped marlin North Pacific RAM NA",NA,"NE Pacific","Pacific Ocean","North Pacific","Kajikia audax","Striped marlin",53,"ram","RAM",0.497733407518614,89619.7829572728
"35","Yellowtail rockfish Northern Pacific Coast","Yellowtail rockfish Northern Pacific Coast RAM NA","YTROCKNPCOAST","NE Pacific","US West Coast","Northern Pacific Coast","Sebastes flavidus","Yellowtail rockfish",39,"ram","RAM",0.085654240589114,200017.341268494
