FF Common,FF Scientific,Predator Common,Predator Scientific,Season,Year,Abundance,Unit,Source,Study Location,Country,size of FF eaten (mm),age of FF eaten,% FF in diet,% Units,Notes
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1970,98,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,66.00,"chicks, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1971,84,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,66.00,"chicks, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1972,86,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,66.00,"chicks, by weight",
sandeel,Ammodytidae,black leg kittiwake,Rissa tridactyla,June-July,1973,79,nests with eggs,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",North Shields and Marsden,North Sea,,,66.00,"chicks, by weight",
,,European shag,Phalacrocorax aristotelis,,1977,,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1978,313,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1979,300,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1980,340,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1981,312,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1982,288,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1983,277,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1984,271,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1985,290,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1986,255,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1987,277,max number of nests,Dunnet and Heubeck 1995 Table 4,Sumburgh,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1977,12,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1978,13,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1979,10,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1980,10,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1981,12,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1982,14,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1983,14,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1984,15,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1985,13,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1986,10,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1987,12,max number of nests,Dunnet and Heubeck 1995 Table 4,Troswick,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1977,,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1978,43,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1979,41,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1980,31,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1981,27,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1982,27,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1983,25,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1984,25,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1985,26,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1986,28,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,European shag,Phalacrocorax aristotelis,,1987,23,max number of nests,Dunnet and Heubeck 1995 Table 4,Burravoe,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1976,2126,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1977,1883,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1978,1914,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1979,1746,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1980,1840,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1981,1704,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1982,1613,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1983,1548,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1984,1384,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1985,1270,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1986,1269,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1987,1632,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
,,black leg kittiwake,Rissa tridactyla,,1988,1503,max number of AON,Dunnet and Heubeck 1995 Table 7,Shetland,North Sea,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness (AON-apparently occupied nest)"
,,common guillemot,Uria aalge,,1976,103.90841,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1977,104.99582,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1978,107.58008,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1979,107.36058,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1980,107.5134,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1981,115.51827,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1982,115.11109,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1983,111.34016,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1984,105.7008,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1985,91.08864,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1986,83.95318,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1987,82.612175,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1988,78.279724,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1989,70.20968,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1990,53.727585,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1991,68.08766,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1992,83.7554,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
,,common guillemot,Uria aalge,,1993,82.22596,index,Dunnet and Heubeck 1995 Figure 8,Shetland,North Sea,,,,,abundance is mean colony index over all colonies where 1978=100
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1969,3100.076,completed nests,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",Isle of May,North Sea,,,80.00,,
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1970,,completed nests,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",Isle of May,North Sea,,,80.00,,
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1971,3471.3542,completed nests,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",Isle of May,North Sea,,,80.00,,
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1972,,completed nests,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",Isle of May,North Sea,,,80.00,,
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1973,3473.625,completed nests,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",Isle of May,North Sea,,,80.00,,
,,black leg kittiwake,Rissa tridactyla,,1974,3068.852,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1975,3900.3062,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1976,3403.1782,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1977,,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1978,,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1979,4974.866,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1980,,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1981,6139.407,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1982,,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1983,4720.9995,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1984,6032.0596,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1985,5516.5845,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1986,4816.657,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,38.13,98.75,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1987,6791.88,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,5.00,95.63,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1988,7660.1826,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,53.75,94.69,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1989,7569.0146,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,77.81,94.38,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1990,8160.562,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,28.44,78.13,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1991,6574.8623,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,99.69,49.38,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1992,6945.0566,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,20.94,70.31,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1993,7019.942,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,61.25,65.94,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1994,3792.4165,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,23.13,73.44,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1995,7631.075,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,7.81,92.19,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1996,6303.732,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,13.13,81.88,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1997,6563.224,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,33.75,89.69,unknown,age is the % of total sandeels that were 1+ group sandeel
sandeel,Ammodytes marinus,black leg kittiwake,Rissa tridactyla,Jun-Jul,1998,4368.8164,completed nests,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",Isle of May,North Sea,,35.00,79.69,unknown,age is the % of total sandeels that were 1+ group sandeel
,,black leg kittiwake,Rissa tridactyla,,1999,4222.349,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2000,4666.2935,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2001,3689.4556,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,2002,3709.1448,completed nests,Frederiksen et al 2004 Figure 1,Isle of May,North Sea,,,,,
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,2000,,,Furness and Tasker 2000 Table 2,Shetland,North Sea,,,90.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,2000,,,Furness and Tasker 2000 Table 2,Peterhead,North Sea,,,80.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,2000,,,Furness and Tasker 2000 Table 2,S and SE,North Sea,,,60.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,2000,,,Furness and Tasker 2000 Table 2,NE,North Sea,,,60.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,razorbill,Alca torda,,2000,,,Furness and Tasker 2000 Table 2,Shetland,North Sea,,,90.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,razorbill,Alca torda,,2000,,,Furness and Tasker 2000 Table 2,Peterhead,North Sea,,,80.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,razorbill,Alca torda,,2000,,,Furness and Tasker 2000 Table 2,S and SE,North Sea,,,60.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,razorbill,Alca torda,,2000,,,Furness and Tasker 2000 Table 2,NE,North Sea,,,60.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,,2000,,,Furness and Tasker 2000 Table 2,Shetland,North Sea,,,100.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,,2000,,,Furness and Tasker 2000 Table 2,Peterhead,North Sea,,,80.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,,2000,,,Furness and Tasker 2000 Table 2,S and SE,North Sea,,,60.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,,2000,,,Furness and Tasker 2000 Table 2,NE,North Sea,,,60.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,arctic skua,Stercorarius parasiticus,,2000,,,Furness and Tasker 2000 Table 2,Shetland,North Sea,,,100.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,arctic skua,Stercorarius parasiticus,,2000,,,Furness and Tasker 2000 Table 2,NE,North Sea,,,80.00,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1973,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,77.3,,90.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1974,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,97.4,,79.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1976,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,80.9,,81.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1978,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,79.8,,87.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1979,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,105.4,,90.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1981,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,76.7,,99.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1983,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,64.3,,96.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1984,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,56.9,,90.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1986,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,43.8,,100.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1987,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,30,,19.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1988,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,,,36.00,by weight,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1973,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,77.3,,68.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1974,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,97.4,,53.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1976,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,80.9,,48.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1978,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,79.8,,54.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1979,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,105.4,,23.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1981,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,76.7,,98.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1983,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,64.3,,94.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1984,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,56.9,,76.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1986,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,43.8,,100.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1987,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,30,,20.00,by number,also have % of sandeels >100mm available
sandeel,Ammodytes marinus,atlantic puffin,Fratercula arctica,,1988,,,"Heubeck ed 1989 Martin p32-33, Table 2","Hermaness, Shetland",North Sea,,,49.00,by number,also have % of sandeels >100mm available
SS herring,,atlantic puffin,Fratercula arctica,,1979-2003,,,Anker-Nilssen and Aarvak 2006 Tabell 3.2,Hernyken,Norway,,,41.20,"chicks, by weight",
sandeel,,atlantic puffin,Fratercula arctica,,1979-2003,,,Anker-Nilssen and Aarvak 2006 Tabell 3.2,Hernyken,Norway,,,14.60,"chicks, by weight",
blue whiting,,atlantic puffin,Fratercula arctica,,1979-2003,,,Anker-Nilssen and Aarvak 2006 Tabell 3.2,Hernyken,Norway,,,5.50,"chicks, by weight",
SS herring,,atlantic puffin,Fratercula arctica,,2004,,,"% Anker-Nilssen and Aarvak 2006 Tabell 3.2, size=Tabell 3.4",Hernyken,Norway,62.1,,70.50,"% chicks, by weight, size=mean, and not specificed adult or chicks",
sandeel,,atlantic puffin,Fratercula arctica,,2004,,,"% Anker-Nilssen and Aarvak 2006 Tabell 3.2, size=Tabell 3.4",Hernyken,Norway,92.4,,8.00,"% chicks, by weight, size=mean, and not specificed adult or chicks",
blue whiting,,atlantic puffin,Fratercula arctica,,2004,,,"% Anker-Nilssen and Aarvak 2006 Tabell 3.2, size=Tabell 3.4",Hernyken,Norway,45.3,,0.60,"% chicks, by weight, size=mean, and not specificed adult or chicks",
SS herring,,atlantic puffin,Fratercula arctica,,2005,,,"% Anker-Nilssen and Aarvak 2006 Tabell 3.2, size=Tabell 3.4",Hernyken,Norway,34.8,,20.90,"% chicks, by weight, size=mean, and not specificed adult or chicks",
