"stockid","stocklong","region","area","location","species","comm_name","type","theta","theta_lo","theta_hi","theta_inf"
"HAKESOTH","Hake Northeast Atlantic South","Europe","European Union","VIIIc-IXa","Merluccius merluccius","European hake","fish",0.0923106775066577,-0.0141978610030023,0.198819216016318,"none"
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel IIa-IVa-Vb-VIa-VII-VIII","Europe","European Union","IIa-IVa-Vb-VIa-VII-VIII","Trachurus trachurus","Horse mackerel","fish",-0.107654043278529,-0.660723398362476,0.445415311805418,"none"
"MACKNEICES","Mackerel ICES Northeast Atlantic","Europe","European Union","IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","Scomber scombrus","Atlantic mackerel","fish",-0.114169071863231,-0.330628904088696,0.102290760362235,"none"
"MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","USA/Canada East","US East Coast","Southern Georges Bank / Mid-Atlantic","Lophius americanus","Goosefish","fish",-0.0769934568275758,-0.175127232538775,0.0211403188836232,"none"
"NFURSTGEORGE","Northern fur seal St. George","Bering Sea","Pribolof Islands","St. George","Callorhinus ursinus","Northern fur seal","mammals",-1.85974792503237,-3.69831510891036,-0.0211807411543736,"negative"
"NFURSTPAUL","Northern fur seal St. Paul","Bering Sea","Pribolof Islands","St. Paul","Callorhinus ursinus","Northern fur seal","mammals",0.726163698358102,-0.80880970557327,2.26113710228947,"none"
"PACBTUNA","Pacific bluefin tuna Pacific Ocean","Pacific Ocean","Pacific Ocean","Pacific Ocean","Thunnus orientalis","Pacific bluefin tuna","fish",-0.185670989243816,-0.330268459928925,-0.0410735185587079,"negative"
"PERBOOPERU","Peruvian booby Peru (number of adults)","Humboldt","Peru","Peru","Sula variegata","Peruvian booby","birds",-0.157304919221151,-0.690407443413105,0.375797604970802,"none"
"PERPELPERU","Peruvian pelican Peru (number of adults)","Humboldt","Peru","Peru","Pelecanus thagus","Peruvian pelican","birds",0.14742839158568,-0.497676055532919,0.792532838704279,"none"
"PHSEALJFUCA","Pacific harbor seal Juan de la Fuca [abundance (total est.)]","NE Pacific","Washington","Juan de la Fuca","Phoca vitulina richardsi","Pacific harbor seal","mammals",-0.62893379638812,-1.23149799110913,-0.0263696016671098,"negative"
"PHSEALOR","Pacific harbor seal Oregon [abundance (total est.)]","NE Pacific","Oregon","Oregon","Phoca vitulina richardsi","Pacific harbor seal","mammals",-0.362994768584831,-1.12521229428003,0.399222757110367,"none"
"PHSEALSJI","Pacific harbor seal San Juan Islands [abundance (total est.)]","NE Pacific","Washington","San Juan Islands","Phoca vitulina richardsi","Pacific harbor seal","mammals",-0.6229568808685,-1.31105339048607,0.0651396287490735,"none"
"PHSEALWA","Pacific harbor seal Coastal Estuaries [abundance (total est.)]","NE Pacific","Washington","Coastal Estuaries","Phoca vitulina richardsi","Pacific harbor seal","mammals",0.541473294598365,-0.473218547007008,1.55616513620374,"none"
"POLL5YZ","Pollock NAFO-5YZ","USA/Canada East","US East Coast","Gulf of Maine / Georges Bank","Pollachius virens","Pollock","fish",0.0196666531508288,-0.376835220320609,0.416168526622267,"none"
"POLLNS-VI-IIIa","Pollock ICES IIIa, VI and North Sea","Europe","European Union","IIIa, VI and North Sea","Pollachius virens","Pollock","fish",-0.110174865909683,-0.250757285158979,0.0304075533396127,"none"
"SHAKE4VWX","Silver hake Scotian Shelf and Bay of Fundy","USA/Canada East","Canada East Coast","Scotian Shelf and Bay of Fundy","Merluccius bilinearis","Silver hake","fish",-0.496628302872175,-0.952873510112628,-0.0403830956317216,"negative"
"SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","Sebastolobus alascanus","Shortspine thornyhead","fish",0.0764016010387694,-0.399665142994976,0.552468345072515,"none"
"STMARLINNEPAC","Striped marlin Northeast Pacific","Pacific Ocean","Pacific Ocean","Northeast Pacific","Kajikia audax","Striped marlin","fish",1.0234413227808,0.567330547511029,1.47955209805057,"positive"
"WHAKE4T","White hake Southern Gulf of St. Lawrence","USA/Canada East","Canada East Coast","Southern Gulf of St. Lawrence","Urophycis tenuis","White hake","fish",0.424535036797293,-0.243202497884598,1.09227257147918,"none"
"WHAKEGBGOM","White hake Georges Bank / Gulf of Maine","USA/Canada East","US East Coast","Gulf of Maine / Georges Bank","Urophycis tenuis","White hake","fish",0.0109105914659629,-0.0677687794621705,0.0895899623940963,"none"
"WHITNS-VIId","Whiting NS-VIId","Europe","European Union","IV and VIId","Merlangius merlangus","Whiting","fish",0.21664702042923,-0.299976821675682,0.733270862534141,"none"
"WMARLINATL","White marlin Atlantic","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","Kajikia albida","White marlin","fish",0.0974093298359083,0.00371899634508363,0.191099663326733,"positive"
"YTROCKNPCOAST","Yellowtail rockfish Northern Pacific Coast","USA/Canada West","US West Coast","Northern Pacific Coast","Sebastes flavidus","Yellowtail rockfish","fish",-0.159650923745367,-0.736561509473619,0.417259661982886,"none"
