Prey,Predator,Predator_type,Predator_stage_or_Length,Predator_stage,abundance_data,year_diet_data_from,month_diet_data_from,name of month NB,year_diet_data_to,month_diet_data_to,name of month NB,season of diet data NB,season of diet data with no NA NB,range of diet data years NB,N_samples,prey_size_mm_min,prey_size_mm_max,prey size range NB,prey size range.mm pasted NB,prey_size_mm_mean,prey_size_mm_sd,prey_size_mm_median,Comment,Measurement_Method,proportion_diet_fracN_mean,proportion_diet_fracW_mean,W_or_Vol,Energetic_contributionfrac,IRI,fracFO,fracFO_SD,Area,Larger_area,Method,Reference
Pacific sardine,CA Sea Lion,pinnipeds,adult-female,adult,YES,2005,3,Mar,2005,4,Apr,Mar-Apr,Mar-Apr,2005,49,,,#NAME?,,,,,,,,,,,,65.3,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,adult-female,adult,YES,2006,2,Feb,2006,7,Jul,Feb-Jul,Feb-Jul,2006,20,,,#NAME?,,,,,,,,,,,,55,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,adult-female,adult,YES,2002,,#N/A,2006,,#N/A,#N/A,,2002-2006,,57,233,57-233,57-233,,,123,Size of prey is refered to all samples from 2002-2006,otolith length_standard length regressions ,,,,,,,,CA,CA,fecal samples,Orretal2011
Pacific sardine,CA Sea Lion,pinnipeds,,,YES,1981,,#N/A,1995,,#N/A,#N/A,,1981-1995,2543,,,#NAME?,,,,,,,,,,,,4.7,,SanClementeIs,CA,scat and spewing samples ,LowryandCarreta1999
Pacific sardine,CA Sea Lion,pinnipeds,,,YES,1981,,#N/A,1995,,#N/A,#N/A,,1981-1995,2980,,,#NAME?,,,,,,,,,,,,12.4,,SanNicolasIs,CA,scat and spewing samples ,LowryandCarreta1999
Pacific sardine,CA Sea Lion,pinnipeds,,,YES,1981,,#N/A,1995,,#N/A,#N/A,,1981-1995,736,,,#NAME?,,,,,,,,,,,,9.9,,StaBarbaraIs,CA,scat and spewing samples ,LowryandCarreta1999
Pacific sardine,Coho salmon,bony fishes,juvenile,juvenile,YES,1999,9,Sep,2002,6,Jun,Sep-Jun,Sep-Jun,1999-2002,,27,86,27-86,27-86,,,,,otolith length_fork length,,,,,,44.4,,OR_WA,OR_WA,stomach sampling,Emmetetal2005
Pacific sardine,Coho salmon,bony fishes,Sub-adult,adult,YES,2000,8,Aug,,8,Aug,Aug,Aug,2000-,16,,,#NAME?,,,,,Prey was adult,,4,,,,,10.3,,CA_OR,CA_OR,stomach sampling,Baldwinetal2008
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1999,9,Sep,2002,6,Jun,Sep-Jun,Sep-Jun,1999-2002,,190,205,190-205,190-205,,,,,otolith length_fork length,,,,,,66.6,,OR_WA,OR_WA,stomach sampling,Emmetetal2005
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,8,Aug,1938,8,Aug,Aug,Aug,1938,56,,,#NAME?,,,,,,,,26.8,,,,,,WestPort,WA,stomach sampling,Silliman1941
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,8,Aug,1938,8,Aug,Aug,Aug,1938,25,,,#NAME?,,,,,,,,21.5,,,,,,WestPort,WA,stomach sampling,Silliman1941
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,9,Sep,1938,9,Sep,Sep,Sep,1938,67,,,#NAME?,,,,,,,,39.2,,,,,,WestPort,WA,stomach sampling,Silliman1941
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,10,Oct,1938,10,Oct,Oct,Oct,1938,169,,,#NAME?,,,,,,,,25,,,,,,WestPort,WA,stomach sampling,Silliman1941
Pacific sardine,Coho salmon,bony fishes,juvenile,juvenile,YES,1999,9,Sep,2002,6,Jun,Sep-Jun,Sep-Jun,1999-2002,,20,56,20-56,20-56,,,,,otolith length_fork length,,,,,,57.9,,OR_WA,OR_WA,stomach sampling,Emmetetal2005
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1999,9,Sep,2002,6,Jun,Sep-Jun,Sep-Jun,1999-2002,,125,250,125-250,125-250,,,,,otolith length_fork length,,,,,,100,,OR_WA,OR_WA,stomach sampling,Emmetetal2005
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,4,Apr,1938,4,Apr,Apr,Apr,1938,75,,,#NAME?,,,,,,,,1.4,,,,,,WestPort,WA,stomach sampling,Silliman1941
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,7,Jul,1938,7,Jul,Jul,Jul,1938,59,,,#NAME?,,,,,,,,14.9,,,,,,WestPort,WA,stomach sampling,Silliman1941
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,8,Aug,1938,8,Aug,Aug,Aug,1938,32,,,#NAME?,,,,,,,,5.6,,,,,,WestPort,WA,stomach sampling,Silliman1941
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,8,Aug,1938,8,Aug,Aug,Aug,1938,75,,,#NAME?,,,,,,,,23.52,,,,,,WestPort,WA,stomach sampling,Silliman1941
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,9,Sep,1938,9,Sep,Sep,Sep,1938,47,,,#NAME?,,,,,,,,19.75,,,,,,WestPort,WA,stomach sampling,Silliman1941
Pacific sardine,Coho salmon,bony fishes,adult,adult,YES,1938,8,Aug,1938,8,Aug,Aug,Aug,1938,21,,,#NAME?,,,,,,,,5.3,,,,,,NeahBay,WA,stomach sampling,Silliman1941
Pacific sardine,Pacific hake,bony fishes,,,YES,1999,9,Sep,2002,6,Jun,Sep-Jun,Sep-Jun,1999-2002,,190,215,190-215,190-215,,,,,otolith length_fork length,,,,,,75,,OR_WA,OR_WA,stomach sampling,Emmetetal2005
Pacific sardine,Pacific hake,bony fishes,StLength150-680mm,,YES,1998,4,Apr,1998,8,Aug,Apr-Aug,Apr-Aug,1998,1136,,,#NAME?,,,,,,,,,,,,0.4,,OR_WA,OR_WA,stomach sampling,EmmettandKrutzikowsky2008
Pacific sardine,Pacific hake,bony fishes,StLength350-680mm,,YES,2002,4,Apr,2002,8,Aug,Apr-Aug,Apr-Aug,2002,229,,,#NAME?,,,,,,,,,,,,1.1,,OffColumbiaRiver,OR_WA,stomach sampling,EmmettandKrutzikowsky2008
Pacific sardine,Pacific hake,bony fishes,StLength320-720mm,,YES,2003,4,Apr,2003,8,Aug,Apr-Aug,Apr-Aug,2003,813,,,#NAME?,,,,,,,,,,,,0.3,,OffColumbiaRiver,OR_WA,stomach sampling,EmmettandKrutzikowsky2008
Pacific sardine,Jack mackerel,bony fishes,StLength230-580mm,,YES,2004,4,Apr,2004,8,Aug,Apr-Aug,Apr-Aug,2004,76,,,#NAME?,,,,,,,,,,,,7.8,,OffColumbiaRiver,OR_WA,stomach sampling,EmmettandKrutzikowsky2008
Pacific sardine,Jack mackerel,bony fishes,,,YES,1999,9,Sep,2002,6,Jun,Sep-Jun,Sep-Jun,1999-2002,,99,145,99-145,99-145,,,,,otolith length_fork length,,,,,,69.2,,OR_WA,OR_WA,stomach sampling,Emmetetal2005
Pacific sardine,Blue shark,cartilaginous fishes,,,YES,1999,9,Sep,2002,6,Jun,Sep-Jun,Sep-Jun,1999-2002,,,,#NAME?,,210,,,Only 1 stomach sample,otolith length_fork length,,,,,,100,,OR_WA,OR_WA,stomach sampling,Emmetetal2005
Pacific sardine,Blue shark,cartilaginous fishes,,,YES,1995,4,Apr,1997,5,May,Apr-May,Apr-May,1995-1997,893,65,172,65-172,65-172,118.5,75.6,,,standard length ,0.88,1.86,,,,3.14,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Pacific sardine,Blue shark,cartilaginous fishes,,,YES,1995,5,May,1995,5,May,May,May,1995,13,,,#NAME?,,,,,,,10,,,,,,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Pacific sardine,Blue shark,cartilaginous fishes,TotalLengthMean170.4cm_SD27.9cm,,YES,1995,9,Sep,1995,9,Sep,Sep,Sep,1995,39,,,#NAME?,,,,,,,,5,,,,,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Pacific sardine,Blue shark,cartilaginous fishes,,,YES,1996,2,Feb,1996,2,Feb,Feb,Feb,1996,47,,,#NAME?,,,,,,,2.5,9.5,,,,,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Pacific sardine,Blue shark,cartilaginous fishes,,,YES,1996,3,Mar,1996,3,Mar,Mar,Mar,1996,19,,,#NAME?,,,,,,,4,9.3,,,,,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Pacific sardine,Blue shark,cartilaginous fishes,TotalLengthMean115.1cm_SD20.2cm,,YES,1996,3,Mar,1996,3,Mar,Mar,Mar,1996,65,,,#NAME?,,,,,,,2,29.5,,,,,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Pacific sardine,Blue shark,cartilaginous fishes,TotalLengthRange70-250cm,,YES,2002,,#N/A,2008,,#N/A,#N/A,,2002-2008,114,,,#NAME?,,,,,,,0.33,0.51,,,,0.88,,CA_OR_WA,CA_OR_WA,stomach sampling,Pretietal2012
Pacific sardine,Soupfin shark,cartilaginous fishes,,,NO,1999,9,Sep,2002,6,Jun,Sep-Jun,Sep-Jun,1999-2002,,200,240,200-240,200-240,,,,,,,,,,,15.4,,OR_WA,OR_WA,stomach sampling,Emmetetal2005
Pacific sardine,Common thresher shark,cartilaginous fishes,,,YES,1998,8,Aug,1999,1,Jan,Aug-Jan,Aug-Jan,1998-1999,107,,,#NAME?,,,,,Warm-water period,,4.46,3.97,,,,7.48,,CA_OR,CA_OR,stomach sampling,Pretietal2004
Pacific sardine,Common thresher shark,cartilaginous fishes,TotalLengthRange70-270cm,,YES,1999,7,Jul,2000,5,May,Jul-May,Jul-May,1999-2000,67,,,#NAME?,,,,,Cool-water period,,7.73,12.76,,,,19.4,,CA_OR,CA_OR,stomach sampling,Pretietal2004
Pacific sardine,Common thresher shark,cartilaginous fishes,TotalLengthRange100-230cm,,YES,2002,,#N/A,2008,,#N/A,#N/A,,2002-2008,157,,,#NAME?,,,,,,,25.85,31.38,,,,26.75,,CA_OR_WA,CA_OR_WA,stomach sampling,Pretietal2012
Pacific sardine,Shortfin mako shark,cartilaginous fishes,TotalLengthRange50-250cm,,NO,2002,,#N/A,2008,,#N/A,#N/A,,2002-2008,238,,,#NAME?,,,,,,,15.22,2.11,,,,12.61,,CA_OR_WA,CA_OR_WA,stomach sampling,Pretietal2012
Pacific sardine,Smooth Hammershead shark ,cartilaginous fishes,female,Female,NO,2000,1,Jan,2004,8,Aug,Jan-Aug,Jan-Aug,2000-2004,,,,#NAME?,,,,,,,2.1,0.04,,,,8.3,,BajaCal,MEX,stomach sampling,OchoaDiaz2009
Pacific sardine,Smooth Hammershead shark ,cartilaginous fishes,male,Male,NO,2000,1,Jan,2004,8,Aug,Jan-Aug,Jan-Aug,2000-2004,,,,#NAME?,,,,,,,15,0.01,,,,8.3,,BajaCal,MEX,stomach sampling,OchoaDiaz2009
Pacific sardine,Smooth Hammershead shark ,cartilaginous fishes,juvenile,juvenile,NO,2000,1,Jan,2004,8,Aug,Jan-Aug,Jan-Aug,2000-2004,,,,#NAME?,,,,,,,4.6,0.09,,,,16.7,,BajaCal,MEX,stomach sampling,OchoaDiaz2009
Pacific sardine,Elegant tern,sea birds,,,YES,1993,,#N/A,2013,,#N/A,#N/A,,1993-2013,,,,#NAME?,,,,,,,,,,,,88.9,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,1993,,#N/A,1993,,#N/A,#N/A,,1993,,,,#NAME?,,,,,,,3.28,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,1994,,#N/A,1994,,#N/A,#N/A,,1994,,,,#NAME?,,,,,,,4.34,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,1995,,#N/A,1995,,#N/A,#N/A,,1995,,,,#NAME?,,,,,,,20.79,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,1996,,#N/A,1996,,#N/A,#N/A,,1996,,,,#NAME?,,,,,,,19.46,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,1997,,#N/A,1997,,#N/A,#N/A,,1997,,,,#NAME?,,,,,,,46.29,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,1998,,#N/A,1998,,#N/A,#N/A,,1998,,,,#NAME?,,,,,,,11.76,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,1999,,#N/A,1999,,#N/A,#N/A,,1999,,,,#NAME?,,,,,,,0.29,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2000,,#N/A,2000,,#N/A,#N/A,,2000,,,,#NAME?,,,,,,,3.66,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2001,,#N/A,2001,,#N/A,#N/A,,2001,,,,#NAME?,,,,,,,0.35,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2002,,#N/A,2002,,#N/A,#N/A,,2002,,,,#NAME?,,,,,,,0.96,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2004,,#N/A,2004,,#N/A,#N/A,,2004,,,,#NAME?,,,,,,,3.47,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2007,,#N/A,2007,,#N/A,#N/A,,2007,,,,#NAME?,,,,,,,0.83,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2008,,#N/A,2008,,#N/A,#N/A,,2008,,,,#NAME?,,,,,,,0.85,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2009,,#N/A,2009,,#N/A,#N/A,,2009,,,,#NAME?,,,,,,,0.18,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2010,,#N/A,2010,,#N/A,#N/A,,2010,,,,#NAME?,,,,,,,0,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2011,,#N/A,2011,,#N/A,#N/A,,2011,,,,#NAME?,,,,,,,0,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2012,,#N/A,2012,,#N/A,#N/A,,2012,,,,#NAME?,,,,,,,0,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,Elegant tern,sea birds,,,YES,2013,,#N/A,2013,,#N/A,#N/A,,2013,,,,#NAME?,,,,,,,0.32,,,,,,,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,CA,fish dropped by the birds during prey deliveries or transfers,HornandWhitcombe2015
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,2005,,#N/A,2006,,#N/A,#N/A,,2005-2006,128,,,#NAME?,,49.2,16.9,,size is a mean of individuals from the three areas,otolith length_standard length regressions ,,,,,,,,CA_OR_WA,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,1968,,#N/A,1969,,#N/A,#N/A,,1968-1969,,,,#NAME?,,,,,,,,,,0,,,,NorhernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,2005,,#N/A,2006,,#N/A,#N/A,,2005-2006,,,,#NAME?,,,,,,,,,,4.3,,,,NorhernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,1949,,#N/A,1950,,#N/A,#N/A,,1949-1950,,,,#NAME?,,,,,,,,,,0,,,,CentralCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,1954,,#N/A,1957,,#N/A,#N/A,,1954-1957,,,,#NAME?,,,,,,,,,,0,,,,CentralCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,1968,,#N/A,1969,,#N/A,#N/A,,1968-1969,,,,#NAME?,,,,,,,,,,0,,,,CentralCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,2005,,#N/A,2006,,#N/A,#N/A,,2005-2006,,,,#NAME?,,,,,,,,,,0.5,,,,CentralCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,1949,,#N/A,1950,,#N/A,#N/A,,1949-1950,,,,#NAME?,,,,,,,,,,0,,,,SouthernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,1968,,#N/A,1969,,#N/A,#N/A,,1968-1969,,,,#NAME?,,,,,,,,,,0,,,,SouthernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,juvenile,juvenile,YES,2005,,#N/A,2006,,#N/A,#N/A,,2005-2006,,,,#NAME?,,,,,,,,,,15.3,,,,SouthernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Pacific sardine,North pacific albacora,bony fishes,,,YES,2005,6,Jun,2006,9,Sep,Jun-Sep,Jun-Sep,2005-2006,371,,,#NAME?,,,,,%N and %FO is calculated for the three areas,,2.1,,,,,26.7,,CA_OR_WA_BC,CA_OR_WA_BC,stomach sampling,Glaseretal2015
Pacific sardine,North pacific albacora,bony fishes,,,YES,2005,6,Jun,2006,9,Sep,Jun-Sep,Jun-Sep,2005-2006,,,,#NAME?,,,,,,,,12.7,,15.3,,,,SouthCA,CA,stomach sampling,Glaseretal2015
Pacific sardine,North pacific albacora,bony fishes,,,YES,2005,6,Jun,2006,9,Sep,Jun-Sep,Jun-Sep,2005-2006,,,,#NAME?,,,,,,,,0.4,,0.5,,,,CA,CA,stomach sampling,Glaseretal2015
Pacific sardine,North pacific albacora,bony fishes,,,YES,2005,6,Jun,2006,9,Sep,Jun-Sep,Jun-Sep,2005-2006,,,,#NAME?,,,,,,,,2.8,,4.3,,,,OR_WA_BC,OR_WA_BC,stomach sampling,Glaseretal2015
Pacific sardine,Humpback whale,cetaceans,TotalLengthMean43.3feets_SD6.5feets,,YES,1920,,#N/A,1920,,#N/A,#N/A,,1920,310,,,#NAME?,,,,,,,,,,,,58.1,,CA,CA,stomach sampling,Clapham1997
Pacific sardine,Humpback whale,cetaceans,TotalLengthMean42.9feets_SD6.96feets,,YES,1921,,#N/A,1921,,#N/A,#N/A,,1921,102,,,#NAME?,,,,,,,,,,,,76.1,,CA,CA,stomach sampling,Clapham1997
Pacific sardine,Humpback whale,cetaceans,TotalLengthMean43feets_SD6.47feets,,YES,1922,,#N/A,1922,,#N/A,#N/A,,1922,473,,,#NAME?,,,,,,,,,,,,58.2,,CA,CA,stomach sampling,Clapham1997
Pacific sardine,Humpback whale,cetaceans,TotalLengthMean43.9feets_SD5.90feets,,YES,1923,,#N/A,1923,,#N/A,#N/A,,1923,366,,,#NAME?,,,,,,,,,,,,16.9,,CA,CA,stomach sampling,Clapham1997
Pacific sardine,Humpback whale,cetaceans,TotalLengthMean43feets_SD4.99feets,,YES,1924,,#N/A,1924,,#N/A,#N/A,,1924,194,,,#NAME?,,,,,,,,,,,,58.4,,CA,CA,stomach sampling,Clapham1997
Pacific sardine,Humpback whale,cetaceans,TotalLengthMean43.1feets_SD5.53feets,,YES,1925,,#N/A,1925,,#N/A,#N/A,,1925,42,,,#NAME?,,,,,,,,,,,,45,,CA,CA,stomach sampling,Clapham1997
Pacific sardine,Humpback whale,cetaceans,TotalLengthMean38.5feets_SD5.53feets,,YES,1926,,#N/A,1926,,#N/A,#N/A,,1926,20,,,#NAME?,,,,,,,,,,,,47.1,,CA,CA,stomach sampling,Clapham1997
Pacific sardine,Striped marlin,bony fishes,TotalLengthRange135cm-208cm,,YES,1988,5,May,1989,12,Dec,May-Dec,May-Dec,1988-1989,350,,,#NAME?,,,,,,,18.92,18.83,Vol,,,27.71,,BajaCal,MEX,stomach sampling,AbitiaCardenas1992
Pacific sardine,Striped marlin,bony fishes,,,YES,1988,11,Nov,1988,11,Nov,Nov,Nov,1988,92,,,#NAME?,,,,,,,4.61,7.12,Vol,,,8.7,,BajaCal,MEX,stomach sampling,AbitiaCardenas1992
Pacific sardine,Striped marlin,bony fishes,,,YES,1989,2,Feb,1989,2,Feb,Feb,Feb,1989,57,,,#NAME?,,,,,,,17.51,11.97,Vol,,,16.07,,BajaCal,MEX,stomach sampling,AbitiaCardenas1992
Pacific sardine,Striped marlin,bony fishes,,,YES,1989,5,May,1989,5,May,May,May,1989,67,,,#NAME?,,,,,,,20.66,12.38,Vol,,,22.39,,BajaCal,MEX,stomach sampling,AbitiaCardenas1992
Pacific sardine,Striped marlin,bony fishes,,,YES,1989,7,Jul,1989,7,Jul,Jul,Jul,1989,11,,,#NAME?,,,,,,,9.09,14.56,Vol,,,27.27,,BajaCal,MEX,stomach sampling,AbitiaCardenas1992
Pacific sardine,Striped marlin,bony fishes,,,YES,1989,11,Nov,1989,11,Nov,Nov,Nov,1989,35,,,#NAME?,,,,,,,29.63,26.16,Vol,,,37.14,,BajaCal,MEX,stomach sampling,AbitiaCardenas1992
Pacific sardine,Indo-pacific blue marlin,bony fishes,,,YES,1988,7,Jul,1988,7,Jul,Jul,Jul,1988,15,,,#NAME?,,,,,,,1.92,0.72,Vol,,,6.67,,BajaCal,MEX,stomach sampling,AbitiaCardenas1992
Pacific sardine,Indo-pacific blue marlin,bony fishes,,,YES,1989,11,Nov,1989,11,Nov,Nov,Nov,1989,24,,,#NAME?,,,,,,,7.43,4.49,Vol,,,8.33,,BajaCal,MEX,stomach sampling,AbitiaCardenas1992
Pacific sardine,Brandt cormorant,sea birds,,,YES,2006,9,Sep,2007,3,Mar,Sep-Mar,Sep-Mar,2006-2007,67,,,#NAME?,,,,,authors found difference in iet within and outcoast the Bay,,1.6,,,,,3,,MonterreyBay,CA,pellets sampling,Webb2013
Pacific sardine,Brandt cormorant,sea birds,,,YES,2007,9,Sep,2008,3,Mar,Sep-Mar,Sep-Mar,2007-2008,162,,,#NAME?,,,,,authors found difference in iet within and outcoast the Bay,,4.7,,,,,11.1,,MonterreyBay,CA,pellets sampling,Webb2013
Pacific sardine,Pacific harbor seal,pinnipeds,,,YES,2006,3,Mar,2006,6,Jun,Mar-Jun,Mar-Jun,2006,35,,,#NAME?,,,,,,,,,,,,0,,DraytonHarbor_EasternBays,WA,scat samples ,LuxaandAcevedo2013
Pacific sardine,Pacific harbor seal,pinnipeds,,,YES,2006,7,Jul,2006,9,Sep,Jul-Sep,Jul-Sep,2006,119,,,#NAME?,,,,,,,,,,,,0,,DraytonHarbor_EasternBays,WA,scat samples ,LuxaandAcevedo2013
