Predator,Importance,ImportanceMean,Prey,PreyInAbund,Predator_type,Region,PredName
Smooth Hammershead shark  juvenile GOC,9.22,5.19,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,GOC,Smooth Hammershead shark 
Smooth Hammershead shark  Male BajaCal,0.01,0.01,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,BajaCal,Smooth Hammershead shark 
Soupfin shark  OR_WA,15.4,15.4,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,OR_WA,Soupfin shark
Spiny dogfish  MonterreyBay,6.21,6.21,Pacific sardine,Pacific sardine Pacific Coast,cartilaginous fishes,MonterreyBay,Spiny dogfish
Steller Sea Lion  CA_OR,10.5,8.35,Pacific sardine,Pacific sardine Pacific Coast,pinnipeds,CA_OR,Steller Sea Lion
Striped marlin  BajaCal,26.16,15.17,Pacific sardine,Pacific sardine Pacific Coast,bony fishes,BajaCal,Striped marlin
Black rockfish  OR_WA,41.9,41.9,Northern anchovy,Northern Anchovy,bony fishes,OR_WA,Black rockfish
Black-legged kittiwakes   MonterreyBay,11.8,11.8,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,Black-legged kittiwakes 
Black-vented Shearwater  adult NavidadIs,30,30,Northern anchovy,Northern Anchovy,sea birds,NavidadIs,Black-vented Shearwater 
Blue shark  BajaCal,11.5,7.7425,Northern anchovy,Northern Anchovy,cartilaginous fishes,BajaCal,Blue shark
Blue shark  OR_WA,10.4,10.4,Northern anchovy,Northern Anchovy,cartilaginous fishes,OR_WA,Blue shark
Bluefin tuna  CA_BajaCal,79.99,79.99,Northern anchovy,Northern Anchovy,bony fishes,CA_BajaCal,Bluefin tuna
Bonapartes gull  MonterreyBay,1.7,1.7,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,Bonapartes gull
Brandt cormorant  FarallonIs,65,15.70588235,Northern anchovy,Northern Anchovy,sea birds,FarallonIs,Brandt cormorant
Brandt cormorant  MonterreyBay,71.7,46.6,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,Brandt cormorant
Brandt cormorant  PointArguello,78,19,Northern anchovy,Northern Anchovy,sea birds,PointArguello,Brandt cormorant
CA Sea Lion  GOC,20.7,10.73333333,Northern anchovy,Northern Anchovy,pinnipeds,GOC,CA Sea Lion
CA Sea Lion  SanClementeIs,45.4,45.4,Northern anchovy,Northern Anchovy,pinnipeds,SanClementeIs,CA Sea Lion
CA Sea Lion  SanNicolasIs,29.4,29.4,Northern anchovy,Northern Anchovy,pinnipeds,SanNicolasIs,CA Sea Lion
CA Sea Lion  StaBarbaraIs,48.9,48.9,Northern anchovy,Northern Anchovy,pinnipeds,StaBarbaraIs,CA Sea Lion
CA Sea Lion adult CA,69.4,43.14,Northern anchovy,Northern Anchovy,pinnipeds,CA,CA Sea Lion
CA Sea Lion juvenile CA,81.5,54.94,Northern anchovy,Northern Anchovy,pinnipeds,CA,CA Sea Lion
CABrown pelican  GOC,100,62.6,Northern anchovy,Northern Anchovy,sea birds,GOC,CABrown pelican
California gull  MonterreyBay,16.7,16.7,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,California gull
California halibut  CA,81.6,81.6,Northern anchovy,Northern Anchovy,bony fishes,CA,California halibut
Chinook salmon  MonterreyBay,40.3,40.3,Northern anchovy,Northern Anchovy,bony fishes,MonterreyBay,Chinook salmon
Chinook salmon  NorthCA,34.3,21.5,Northern anchovy,Northern Anchovy,bony fishes,NorthCA,Chinook salmon
Chinook salmon  SanFranciscoBay,29.1,29.1,Northern anchovy,Northern Anchovy,bony fishes,SanFranciscoBay,Chinook salmon
Chinook salmon adult CA_OR,0.3,0.2,Northern anchovy,Northern Anchovy,bony fishes,CA_OR,Chinook salmon
Chinook salmon adult OR_WA,86.8,44.84,Northern anchovy,Northern Anchovy,bony fishes,OR_WA,Chinook salmon
Chinook salmon adult WestPort,65.3,30.4,Northern anchovy,Northern Anchovy,bony fishes,WestPort,Chinook salmon
Chinook salmon juvenile CA_OR,2.7,1.333333333,Northern anchovy,Northern Anchovy,bony fishes,CA_OR,Chinook salmon
Chinook salmon juvenile OffColumbiaRiver,4.17,2.425,Northern anchovy,Northern Anchovy,bony fishes,OffColumbiaRiver,Chinook salmon
Coho salmon adult  OR_WA,55.3,39.9,Northern anchovy,Northern Anchovy,bony fishes,OR_WA,Coho salmon
Coho salmon adult OR_WA,9.6,9.6,Northern anchovy,Northern Anchovy,bony fishes,OR_WA,Coho salmon
Coho salmon adult WestPort,19.6,8.166666667,Northern anchovy,Northern Anchovy,bony fishes,WestPort,Coho salmon
Coho salmon juvenile CA_OR,1.2,0.65,Northern anchovy,Northern Anchovy,bony fishes,CA_OR,Coho salmon
Common murre  Coast_FarallonGulf,44,34.66666667,Northern anchovy,Northern Anchovy,sea birds,Coast_FarallonGulf,Common murre
Common murre  Midshelf_FarallonGulf,4,2,Northern anchovy,Northern Anchovy,sea birds,Midshelf_FarallonGulf,Common murre
Common murre  OuterShelf_FarrallonGulf,1,1,Northern anchovy,Northern Anchovy,sea birds,OuterShelf_FarrallonGulf,Common murre
Common murre  TatooshIs,8.65,1.8325,Northern anchovy,Northern Anchovy,sea birds,TatooshIs,Common murre
Common murre chicks FarallonIs,56,24.25,Northern anchovy,Northern Anchovy,sea birds,FarallonIs,Common murre
Common thresher shark  CA_OR,68,49.06,Northern anchovy,Northern Anchovy,cartilaginous fishes,CA_OR,Common thresher shark
Common thresher shark  CA_OR_WA,25.74,25.74,Northern anchovy,Northern Anchovy,cartilaginous fishes,CA_OR_WA,Common thresher shark
Cutthroat trout   OR_WA,69.9,47.95,Northern anchovy,Northern Anchovy,bony fishes,OR_WA,Cutthroat trout 
Elegant tern  LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,100,42.64105263,Northern anchovy,Northern Anchovy,sea birds,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,Elegant tern
Elegant tern chicks SanDiegoBay,87,73,Northern anchovy,Northern Anchovy,sea birds,SanDiegoBay,Elegant tern
Glaucous-winged gull  MonterreyBay,15,15,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,Glaucous-winged gull
Harbor porpoise  MonterreyBay,33.71,17.99,Northern anchovy,Northern Anchovy,cetaceans,MonterreyBay,Harbor porpoise
Heermann gull  GOC,99,61,Northern anchovy,Northern Anchovy,sea birds,GOC,Heermann gull
Heermann gull  MonterreyBay,27.9,27.9,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,Heermann gull
Humboldt_jumbo_squid   CA_OR_WA,6,5.3,Northern anchovy,Northern Anchovy,invertebrates,CA_OR_WA,Humboldt_jumbo_squid 
Humboldt_jumbo_squid   GOC,3.8,3.8,Northern anchovy,Northern Anchovy,invertebrates,GOC,Humboldt_jumbo_squid 
Humpback whale  CA,21.3,21.3,Northern anchovy,Northern Anchovy,cetaceans,CA,Humpback whale
Jack mackerel  OffColumbiaRiver,20,6.966666667,Northern anchovy,Northern Anchovy,bony fishes,OffColumbiaRiver,Jack mackerel
Jack mackerel  OR_WA,70.6,35.35,Northern anchovy,Northern Anchovy,bony fishes,OR_WA,Jack mackerel
Lincod  OR,0.62,0.62,Northern anchovy,Northern Anchovy,bony fishes,OR,Lincod
Long-beaked common dolphin  CA,21.01,21.01,Northern anchovy,Northern Anchovy,cetaceans,CA,Long-beaked common dolphin
Mew gull  MonterreyBay,26.7,26.7,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,Mew gull
North pacific albacora  CA,44.1,22.7,Northern anchovy,Northern Anchovy,bony fishes,CA,North pacific albacora
North pacific albacora  CA_OR_WA,43.6,43.6,Northern anchovy,Northern Anchovy,bony fishes,CA_OR_WA,North pacific albacora
North pacific albacora  CA_OR_WA_BC,11.86,11.86,Northern anchovy,Northern Anchovy,bony fishes,CA_OR_WA_BC,North pacific albacora
North pacific albacora  OR_WA_BC,20.8,20.8,Northern anchovy,Northern Anchovy,bony fishes,OR_WA_BC,North pacific albacora
North pacific albacora  SouthCA,60.8,60.8,Northern anchovy,Northern Anchovy,bony fishes,SouthCA,North pacific albacora
North pacific albacora  SouthernCA_OR_WA,43.9,43.9,Northern anchovy,Northern Anchovy,bony fishes,SouthernCA_OR_WA,North pacific albacora
Northern fur seal  CA_WA,32,32,Northern anchovy,Northern Anchovy,pinnipeds,CA_WA,Northern fur seal
Pacific bonito  SCACoast_OffshoreIs,73.5,73.5,Northern anchovy,Northern Anchovy,bony fishes,SCACoast_OffshoreIs,Pacific bonito
Pacific bonito  SCACoast_OffshoreIs_BajaCal,77.4,77.4,Northern anchovy,Northern Anchovy,bony fishes,SCACoast_OffshoreIs_BajaCal,Pacific bonito
Pacific hake  NorthCapeBlanco,0.76,0.76,Northern anchovy,Northern Anchovy,bony fishes,NorthCapeBlanco,Pacific hake
Pacific hake  OffColumbiaRiver,17.8,8.08,Northern anchovy,Northern Anchovy,bony fishes,OffColumbiaRiver,Pacific hake
Pacific hake  OR_WA,47.4,17.63333333,Northern anchovy,Northern Anchovy,bony fishes,OR_WA,Pacific hake
Pacific hake  SouthCapeBlanco,53.06,53.06,Northern anchovy,Northern Anchovy,bony fishes,SouthCapeBlanco,Pacific hake
Pacific harbor seal  DraytonHarbor_EasternBays,35.3,21.95,Northern anchovy,Northern Anchovy,pinnipeds,DraytonHarbor_EasternBays,Pacific harbor seal
Pacific harbor seal  PadillaBay_EasternBays,0,0,Northern anchovy,Northern Anchovy,pinnipeds,PadillaBay_EasternBays,Pacific harbor seal
Pacific harbor seal  UmpquaRiver,5.5,2.533333333,Northern anchovy,Northern Anchovy,pinnipeds,UmpquaRiver,Pacific harbor seal
Pacific harbor seal adult SanFranciscoBay,2.5,1.55,Northern anchovy,Northern Anchovy,pinnipeds,SanFranciscoBay,Pacific harbor seal
Pacific herring  OR_WA,0.2,0.2,Northern anchovy,Northern Anchovy,bony fishes,OR_WA,Pacific herring
Pacific mackerel  GOC,43,43,Northern anchovy,Northern Anchovy,bony fishes,GOC,Pacific mackerel
Pacific saury  OR_WA,4.6,4.6,Northern anchovy,Northern Anchovy,bony fishes,OR_WA,Pacific saury
Pacific white-sided dolphin  MonterreyBay,12,12,Northern anchovy,Northern Anchovy,cetaceans,MonterreyBay,Pacific white-sided dolphin
Pink-footed  shearwater   MonterreyBay,8.9,8.9,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,Pink-footed  shearwater 
Rhinoceros auklet  MonterreyBay,9,9,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,Rhinoceros auklet
Rhinoceros auklet chicks AnioNuevoIs,36,20.5,Northern anchovy,Northern Anchovy,sea birds,AnioNuevoIs,Rhinoceros auklet
Sablefish  SouthCapeBlanco,6.38,6.38,Northern anchovy,Northern Anchovy,bony fishes,SouthCapeBlanco,Sablefish
Short-beaked common dolphin  CA,25.15,25.15,Northern anchovy,Northern Anchovy,cetaceans,CA,Short-beaked common dolphin
Shortfin mako shark  CA_OR_WA,0.1,0.1,Northern anchovy,Northern Anchovy,cartilaginous fishes,CA_OR_WA,Shortfin mako shark
Sooty shearwater   MonterreyBay,18,13.3,Northern anchovy,Northern Anchovy,sea birds,MonterreyBay,Sooty shearwater 
Soupfin shark  OR_WA,0.3,0.3,Northern anchovy,Northern Anchovy,cartilaginous fishes,OR_WA,Soupfin shark
Spiny dogfish  MonterreyBay,5.55,5.55,Northern anchovy,Northern Anchovy,cartilaginous fishes,MonterreyBay,Spiny dogfish
Spiny dogfish  OR_WA,17.8,8.533333333,Northern anchovy,Northern Anchovy,cartilaginous fishes,OR_WA,Spiny dogfish
Steller Sea Lion  CA_OR,16.1,14,Northern anchovy,Northern Anchovy,pinnipeds,CA_OR,Steller Sea Lion
Western gull chicks AnacapaIs,11,11,Northern anchovy,Northern Anchovy,sea birds,AnacapaIs,Western gull
Western gull chicks PrinceIs,21,6.5,Northern anchovy,Northern Anchovy,sea birds,PrinceIs,Western gull
Western gull chicks SanNicolasIs,22,13,Northern anchovy,Northern Anchovy,sea birds,SanNicolasIs,Western gull
Western gull chicks StaBarbaraIs,45,29.4,Northern anchovy,Northern Anchovy,sea birds,StaBarbaraIs,Western gull
Xantuss murrellet  StaBarbaraIs,42,42,Northern anchovy,Northern Anchovy,sea birds,StaBarbaraIs,Xantuss murrellet
Xantuss murrellet adults AnacapaIs,29,29,Northern anchovy,Northern Anchovy,sea birds,AnacapaIs,Xantuss murrellet
Artic loon  MonterreyBay,72.7,72.7,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Artic loon
Black-legged kittiwakes   MonterreyBay,82.4,82.4,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Black-legged kittiwakes 
Blue shark  BajaCal,8.5,4.92,CAMarket squid,California Market Squid,cartilaginous fishes,BajaCal,Blue shark
Blue shark  CA_OR_WA,0.01,0.01,CAMarket squid,California Market Squid,cartilaginous fishes,CA_OR_WA,Blue shark
Bluefin tuna  CA_BajaCal,1.58,1.58,CAMarket squid,California Market Squid,bony fishes,CA_BajaCal,Bluefin tuna
Brandt cormorant  MonterreyBay,14.1,5.366666667,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Brandt cormorant
CA Sea Lion  MonterreyBay,8,8,CAMarket squid,California Market Squid,pinnipeds,MonterreyBay,CA Sea Lion
CA Sea Lion  SanClementeIs,35.1,35.1,CAMarket squid,California Market Squid,pinnipeds,SanClementeIs,CA Sea Lion
CA Sea Lion  SanNicolasIs,44.3,44.3,CAMarket squid,California Market Squid,pinnipeds,SanNicolasIs,CA Sea Lion
CA Sea Lion  StaBarbaraIs,42.7,42.7,CAMarket squid,California Market Squid,pinnipeds,StaBarbaraIs,CA Sea Lion
CA Sea Lion adult CA,45,29.52,CAMarket squid,California Market Squid,pinnipeds,CA,CA Sea Lion
CA Sea Lion juvenile CA,64.3,33.38,CAMarket squid,California Market Squid,pinnipeds,CA,CA Sea Lion
California gull  MonterreyBay,50,50,CAMarket squid,California Market Squid,sea birds,MonterreyBay,California gull
Chinook salmon  MonterreyBay,9.3,9.3,CAMarket squid,California Market Squid,bony fishes,MonterreyBay,Chinook salmon
Chinook salmon  NorthCA,12.9,8.05,CAMarket squid,California Market Squid,bony fishes,NorthCA,Chinook salmon
Chinook salmon  SanFranciscoBay,7.4,7.4,CAMarket squid,California Market Squid,bony fishes,SanFranciscoBay,Chinook salmon
Chinook salmon adult CA_OR ,0.2,0.2,CAMarket squid,California Market Squid,bony fishes,CA_OR ,Chinook salmon
Chinook salmon adult OR_WA,0.4,0.25,CAMarket squid,California Market Squid,bony fishes,OR_WA,Chinook salmon
Coho salmon adult OR_WA,10.3,4.95,CAMarket squid,California Market Squid,bony fishes,OR_WA,Coho salmon
Coho salmon juvenile CA_OR ,0.1,0.1,CAMarket squid,California Market Squid,bony fishes,CA_OR ,Coho salmon
Common murre  MonterreyBay,19.3,17.65,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Common murre
Common murre adult Coast_FarallonGulf,20,12,CAMarket squid,California Market Squid,sea birds,Coast_FarallonGulf,Common murre
Common murre adult Midshelf_FarallonGulf,61,61,CAMarket squid,California Market Squid,sea birds,Midshelf_FarallonGulf,Common murre
Common murre adult OuterShelf_FarrallonGulf,47,21,CAMarket squid,California Market Squid,sea birds,OuterShelf_FarrallonGulf,Common murre
Common murre chicks FarallonIs,2,1.25,CAMarket squid,California Market Squid,sea birds,FarallonIs,Common murre
Common thresher shark  CA_OR,6.06,3.09,CAMarket squid,California Market Squid,cartilaginous fishes,CA_OR,Common thresher shark
Common thresher shark  CA_OR_WA,0.1,0.1,CAMarket squid,California Market Squid,cartilaginous fishes,CA_OR_WA,Common thresher shark
Curlfin sole_turbot  MonterreyBay,36,36,CAMarket squid,California Market Squid,bony fishes,MonterreyBay,Curlfin sole_turbot
Dalls porpoise  VancouverIs_SanJuanIs,1.2,1.2,CAMarket squid,California Market Squid,cetaceans,VancouverIs_SanJuanIs,Dalls porpoise
Elegant tern  LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,50,4.426315789,CAMarket squid,California Market Squid,sea birds,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,Elegant tern
Glaucous-winged gull  MonterreyBay,55,55,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Glaucous-winged gull
Harbor porpoise  MonterreyBay,47.71,32.46,CAMarket squid,California Market Squid,cetaceans,MonterreyBay,Harbor porpoise
Harbor porpoise  VancouverIs_SanJuanIs,54.8,54.8,CAMarket squid,California Market Squid,cetaceans,VancouverIs_SanJuanIs,Harbor porpoise
Heermann gull  MonterreyBay,25.6,25.6,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Heermann gull
Humboldt_jumbo_squid   CA_OR_WA,1.5,1.5,CAMarket squid,California Market Squid,invertebrates,CA_OR_WA,Humboldt_jumbo_squid 
Lincod  OR,0.93,0.93,CAMarket squid,California Market Squid,bony fishes,OR,Lincod
Long-beaked common dolphin  CA,49.94,49.94,CAMarket squid,California Market Squid,cetaceans,CA,Long-beaked common dolphin
Mew gull  MonterreyBay,26.7,26.7,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Mew gull
North pacific albacora  CA_OR_WA,0.4,0.4,CAMarket squid,California Market Squid,bony fishes,CA_OR_WA,North pacific albacora
North pacific albacora  SouthernCA_OR_WA,0.1,0.1,CAMarket squid,California Market Squid,bony fishes,SouthernCA_OR_WA,North pacific albacora
Northern fulmar  MonterreyBay,29.6,29.6,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Northern fulmar
Pacific bonito  SCACoast_OffshoreIs,18.6,18.6,CAMarket squid,California Market Squid,bony fishes,SCACoast_OffshoreIs,Pacific bonito
Pacific bonito  SCACoast_OffshoreIs_BajaCal,17.7,17.7,CAMarket squid,California Market Squid,bony fishes,SCACoast_OffshoreIs_BajaCal,Pacific bonito
Pacific harbor seal  StraitOfGeorgia,5.5,4.2,CAMarket squid,California Market Squid,pinnipeds,StraitOfGeorgia,Pacific harbor seal
Pacific harbor seal  UmpquaRiver,12.8,5.433333333,CAMarket squid,California Market Squid,pinnipeds,UmpquaRiver,Pacific harbor seal
Pacific harbor seal adult SanFranciscoBay,0.1,0.05,CAMarket squid,California Market Squid,pinnipeds,SanFranciscoBay,Pacific harbor seal
Pacific sanddab  MonterreyBay,18,18,CAMarket squid,California Market Squid,bony fishes,MonterreyBay,Pacific sanddab
Pacific white-sided dolphin  MonterreyBay,5,5,CAMarket squid,California Market Squid,cetaceans,MonterreyBay,Pacific white-sided dolphin
Pink-footed  shearwater   MonterreyBay,71.2,71.2,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Pink-footed  shearwater 
Rhinoceros auklet  MonterreyBay,70.4,66.2,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Rhinoceros auklet
Rhinoceros auklet chicks AnioNuevoIs,30,30,CAMarket squid,California Market Squid,sea birds,AnioNuevoIs,Rhinoceros auklet
Short-beaked common dolphin  CA,44.79,44.79,CAMarket squid,California Market Squid,cetaceans,CA,Short-beaked common dolphin
Short-tailed shearwater   MonterreyBay,91.7,91.7,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Short-tailed shearwater 
Shortfin mako shark  CA_OR_WA,0.01,0.01,CAMarket squid,California Market Squid,cartilaginous fishes,CA_OR_WA,Shortfin mako shark
Sooty shearwater   MonterreyBay,36.6,28.3,CAMarket squid,California Market Squid,sea birds,MonterreyBay,Sooty shearwater 
Western gull chicks AnacapaIs,3,3,CAMarket squid,California Market Squid,sea birds,AnacapaIs,Western gull
Western gull chicks PrinceIs,58,28.5,CAMarket squid,California Market Squid,sea birds,PrinceIs,Western gull
Western gull chicks SanNicolasIs,26,17,CAMarket squid,California Market Squid,sea birds,SanNicolasIs,Western gull
Western gull chicks StaBarbaraIs,12,6.2,CAMarket squid,California Market Squid,sea birds,StaBarbaraIs,Western gull
Yellowtail rockfish  CA_OR_WA_BC,1.7,1.7,CAMarket squid,California Market Squid,bony fishes,CA_OR_WA_BC,Yellowtail rockfish
Yellowtail rockfish  HacetaBank,14.9,14.9,CAMarket squid,California Market Squid,bony fishes,HacetaBank,Yellowtail rockfish
Arrowtooth flounder  NorthCapeBlanco,83.57,83.57,Pacific hake,Pacific hake Pacific Coast,bony fishes,NorthCapeBlanco,Arrowtooth flounder
Arrowtooth flounder  SouthCapeBlanco,36.21,36.21,Pacific hake,Pacific hake Pacific Coast,bony fishes,SouthCapeBlanco,Arrowtooth flounder
Blue shark  BajaCal,26.5,12.98,Pacific hake,Pacific hake Pacific Coast,cartilaginous fishes,BajaCal,Blue shark
Blue shark  CA_OR_WA,0.01,0.01,Pacific hake,Pacific hake Pacific Coast,cartilaginous fishes,CA_OR_WA,Blue shark
Blue shark  OR_WA,53.9,53.9,Pacific hake,Pacific hake Pacific Coast,cartilaginous fishes,OR_WA,Blue shark
Brandt cormorant  MonterreyBay,0.5,0.25,Pacific hake,Pacific hake Pacific Coast,sea birds,MonterreyBay,Brandt cormorant
CA Sea Lion  GOC,1.04,1.04,Pacific hake,Pacific hake Pacific Coast,pinnipeds,GOC,CA Sea Lion
CA Sea Lion  SanClementeIs,24.8,24.8,Pacific hake,Pacific hake Pacific Coast,pinnipeds,SanClementeIs,CA Sea Lion
CA Sea Lion  SanNicolasIs,31.2,31.2,Pacific hake,Pacific hake Pacific Coast,pinnipeds,SanNicolasIs,CA Sea Lion
CA Sea Lion  StaBarbaraIs,39.4,39.4,Pacific hake,Pacific hake Pacific Coast,pinnipeds,StaBarbaraIs,CA Sea Lion
CA Sea Lion adult CA,45,27.18,Pacific hake,Pacific hake Pacific Coast,pinnipeds,CA,CA Sea Lion
CA Sea Lion juvenile CA,37,21.3,Pacific hake,Pacific hake Pacific Coast,pinnipeds,CA,CA Sea Lion
